# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-11-02 18:50:41 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09384600 LYMAN LAKE NEAR ST. JOHNS, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09384600
#            TS   parameter     statistic     Description
#          5222       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5222_00054_32400	5222_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09384600	2018-10-01	4726	P
USGS	09384600	2018-10-02	4687	P
USGS	09384600	2018-10-03	4721	P
USGS	09384600	2018-10-04	4687	P
USGS	09384600	2018-10-05	4670	P
USGS	09384600	2018-10-06	4653	P
USGS	09384600	2018-10-07	4670	P
USGS	09384600	2018-10-08	4665	P
USGS	09384600	2018-10-09	4631	P
USGS	09384600	2018-10-10	4625	P
USGS	09384600	2018-10-11	4603	P
USGS	09384600	2018-10-12	4597	P
USGS	09384600	2018-10-13	4620	P
USGS	09384600	2018-10-14	4597	P
USGS	09384600	2018-10-15	4592	P
USGS	09384600	2018-10-16	4592	P
USGS	09384600	2018-10-17	4536	P
USGS	09384600	2018-10-18	4524	P
USGS	09384600	2018-10-19	4491	P
USGS	09384600	2018-10-20	4451	P
USGS	09384600	2018-10-21	4412	P
USGS	09384600	2018-10-22	4395	P
USGS	09384600	2018-10-23	4378	P
USGS	09384600	2018-10-24	4356	P
USGS	09384600	2018-10-25	4340	P
USGS	09384600	2018-10-26	4303	P
USGS	09384600	2018-10-27	4287	P
USGS	09384600	2018-10-28	4255	P
USGS	09384600	2018-10-29	4234	P
USGS	09384600	2018-10-30	4234	P
USGS	09384600	2018-10-31	4250	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-12-03 19:38:15 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09384600 LYMAN LAKE NEAR ST. JOHNS, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09384600
#            TS   parameter     statistic     Description
#          5222       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5222_00054_32400	5222_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09384600	2018-11-01	4212	P
USGS	09384600	2018-11-02	4180	P
USGS	09384600	2018-11-03	4186	P
USGS	09384600	2018-11-04	4133	P
USGS	09384600	2018-11-05	4117	P
USGS	09384600	2018-11-06	4085	P
USGS	09384600	2018-11-07	4101	P
USGS	09384600	2018-11-08	4079	P
USGS	09384600	2018-11-09	4042	P
USGS	09384600	2018-11-10	4016	P
USGS	09384600	2018-11-11	3978	P
USGS	09384600	2018-11-12	3946	P
USGS	09384600	2018-11-13	3904	P
USGS	09384600	2018-11-14	3898	P
USGS	09384600	2018-11-15	3856	P
USGS	09384600	2018-11-16	3824	P
USGS	09384600	2018-11-17	3789	P
USGS	09384600	2018-11-18	3769	P
USGS	09384600	2018-11-19	3789	P
USGS	09384600	2018-11-20	3754	P
USGS	09384600	2018-11-21	3779	P
USGS	09384600	2018-11-22	3759	P
USGS	09384600	2018-11-23	3759	P
USGS	09384600	2018-11-24	3754	P
USGS	09384600	2018-11-25	3759	P
USGS	09384600	2018-11-26	3754	P
USGS	09384600	2018-11-27	3759	P
USGS	09384600	2018-11-28	3759	P
USGS	09384600	2018-11-29	3749	P
USGS	09384600	2018-11-30	3754	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-01-02 13:00:34 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09384600 LYMAN LAKE NEAR ST. JOHNS, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09384600
#            TS   parameter     statistic     Description
#          5222       00054     32400     Reservoir storage, acre feet (Observation at noon)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5222_00054_32400	5222_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09384600	2018-12-01	3744	P
USGS	09384600	2018-12-02	3769	P
USGS	09384600	2018-12-03	3739	P
USGS	09384600	2018-12-04	3744	P
USGS	09384600	2018-12-05	3754	P
USGS	09384600	2018-12-06	3754	P
USGS	09384600	2018-12-07	3749	P
USGS	09384600	2018-12-08	3764	P
USGS	09384600	2018-12-09	3759	P
USGS	09384600	2018-12-10	3759	P
USGS	09384600	2018-12-11	3794	P
USGS	09384600	2018-12-12	3744	P
USGS	09384600	2018-12-13	3744	P
USGS	09384600	2018-12-14	3749	P
USGS	09384600	2018-12-15	3744	P
USGS	09384600	2018-12-16	3734	P
USGS	09384600	2018-12-17	3739	P
USGS	09384600	2018-12-18	3764	P
USGS	09384600	2018-12-19	3719	P
USGS	09384600	2018-12-20	3724	P
USGS	09384600	2018-12-21	3719	P
USGS	09384600	2018-12-22	3709	P
USGS	09384600	2018-12-23	3704	P
USGS	09384600	2018-12-24	3709	P
USGS	09384600	2018-12-25	3714	P
USGS	09384600	2018-12-26	3709	P
USGS	09384600	2018-12-27	3714	P
USGS	09384600	2018-12-28	3709	P
USGS	09384600	2018-12-29	3709	P
USGS	09384600	2018-12-30	3734	P
USGS	09384600	2018-12-31	3698	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
