# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-11-02 18:50:38 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09509501 HORSESHOE RESERVOIR AT HORSESHOE DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09509501
#            TS   parameter     statistic     Description
#          5722       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5722_00054_32400	5722_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09509501	2018-10-01	2928	P
USGS	09509501	2018-10-02	2941	P
USGS	09509501	2018-10-03	3273	P
USGS	09509501	2018-10-04	3952	P
USGS	09509501	2018-10-05	5158	P
USGS	09509501	2018-10-06	5685	P
USGS	09509501	2018-10-07	6273	P
USGS	09509501	2018-10-08	7872	P
USGS	09509501	2018-10-09	8695	P
USGS	09509501	2018-10-10	9293	P
USGS	09509501	2018-10-11	9666	P
USGS	09509501	2018-10-12	9933	P
USGS	09509501	2018-10-13	10230	P
USGS	09509501	2018-10-14	10650	P
USGS	09509501	2018-10-15	11100	P
USGS	09509501	2018-10-16	11390	P
USGS	09509501	2018-10-17	11790	P
USGS	09509501	2018-10-18	11950	P
USGS	09509501	2018-10-19	11910	P
USGS	09509501	2018-10-20	11820	P
USGS	09509501	2018-10-21	11670	P
USGS	09509501	2018-10-22	11630	P
USGS	09509501	2018-10-23	11380	P
USGS	09509501	2018-10-24	11210	P
USGS	09509501	2018-10-25	11030	P
USGS	09509501	2018-10-26	10860	P
USGS	09509501	2018-10-27	10680	P
USGS	09509501	2018-10-28	10470	P
USGS	09509501	2018-10-29	10260	P
USGS	09509501	2018-10-30	10040	P
USGS	09509501	2018-10-31	9971	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-12-03 19:38:13 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09509501 HORSESHOE RESERVOIR AT HORSESHOE DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09509501
#            TS   parameter     statistic     Description
#          5722       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5722_00054_32400	5722_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09509501	2018-11-01	10100	A
USGS	09509501	2018-11-02	9990	A
USGS	09509501	2018-11-03	9859	A
USGS	09509501	2018-11-04	9700	A
USGS	09509501	2018-11-05	9562	A
USGS	09509501	2018-11-06	9414	P
USGS	09509501	2018-11-07	9146	P
USGS	09509501	2018-11-08	8422	P
USGS	09509501	2018-11-09	7493	P
USGS	09509501	2018-11-10	6568	P
USGS	09509501	2018-11-11	5628	P
USGS	09509501	2018-11-12	4673	P
USGS	09509501	2018-11-13	3719	P
USGS	09509501	2018-11-14	2630	P
USGS	09509501	2018-11-15	2345	P
USGS	09509501	2018-11-16	2513	P
USGS	09509501	2018-11-17	2616	P
USGS	09509501	2018-11-18	2691	P
USGS	09509501	2018-11-19	2776	P
USGS	09509501	2018-11-20	2822	P
USGS	09509501	2018-11-21	2872	P
USGS	09509501	2018-11-22	2937	P
USGS	09509501	2018-11-23	3017	P
USGS	09509501	2018-11-24	3112	P
USGS	09509501	2018-11-25	3175	P
USGS	09509501	2018-11-26	3238	P
USGS	09509501	2018-11-27	3308	P
USGS	09509501	2018-11-28	3403	P
USGS	09509501	2018-11-29	3500	P
USGS	09509501	2018-11-30	3609	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-01-02 13:00:31 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09509501 HORSESHOE RESERVOIR AT HORSESHOE DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09509501
#            TS   parameter     statistic     Description
#          5722       00054     32400     Reservoir storage, acre feet (Observation at noon)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5722_00054_32400	5722_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09509501	2018-12-01	3692	A
USGS	09509501	2018-12-02	3760	A
USGS	09509501	2018-12-03	3867	A
USGS	09509501	2018-12-04	3937	A
USGS	09509501	2018-12-05	4181	A
USGS	09509501	2018-12-06	4551	A
USGS	09509501	2018-12-07	4652	A
USGS	09509501	2018-12-08	4748	A
USGS	09509501	2018-12-09	4832	A
USGS	09509501	2018-12-10	4916	A
USGS	09509501	2018-12-11	4989	P
USGS	09509501	2018-12-12	5063	P
USGS	09509501	2018-12-13	5124	P
USGS	09509501	2018-12-14	5199	P
USGS	09509501	2018-12-15	5268	P
USGS	09509501	2018-12-16	5372	P
USGS	09509501	2018-12-17	5407	P
USGS	09509501	2018-12-18	5485	P
USGS	09509501	2018-12-19	5549	P
USGS	09509501	2018-12-20	5599	P
USGS	09509501	2018-12-21	5685	P
USGS	09509501	2018-12-22	5736	P
USGS	09509501	2018-12-23	5809	P
USGS	09509501	2018-12-24	5875	P
USGS	09509501	2018-12-25	5942	P
USGS	09509501	2018-12-26	6009	P
USGS	09509501	2018-12-27	6076	P
USGS	09509501	2018-12-28	6151	P
USGS	09509501	2018-12-29	6212	P
USGS	09509501	2018-12-30	6273	P
