#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 488: Fry, AZ
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fry (488) 
# Arizona  SNOTEL Site - 7200 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 1, 2019 4:06:24 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1978-10-02,,,32,32,32,
1978-10-03,,,32,32,32,
1978-10-04,,,32,32,32,
1978-10-05,,,32,32,32,
1978-10-06,,,32,32,32,
1978-10-07,,,32,32,32,
1978-10-08,,,32,32,32,
1978-10-09,,,32,32,32,
1978-10-10,,,32,32,32,
1978-10-11,,,32,32,32,
1978-10-12,,,32,32,32,
1978-10-13,,,32,32,32,
1978-10-14,,,32,32,32,
1978-10-15,,,,,,
1978-10-16,,,,,,
1978-10-17,,,,,,
1978-10-18,,,,,,
1978-10-19,,,,,,
1978-10-20,,,,,,
1978-10-21,,,,,,
1978-10-22,,,,,,
1978-10-23,,,,,,
1978-10-24,,,,,,
1978-10-25,,,,,,
1978-10-26,,,,,,
1978-10-27,,,,,,
1978-10-28,,,,,,
1978-10-29,,,,,,
1978-10-30,,,,,,
1978-10-31,,,32,32,32,
1978-11-01,,,32,32,32,
1978-11-02,,,32,32,32,
1978-11-03,,,,,,
1978-11-04,,,32,32,32,
1978-11-05,,,32,32,32,
1978-11-06,,,32,32,32,
1978-11-07,,,32,32,32,
1978-11-08,,,32,32,32,
1978-11-09,,,32,32,32,
1978-11-10,,,32,32,32,
1978-11-11,,,32,32,32,
1978-11-12,,,32,32,32,
1978-11-13,,,32,32,32,
1978-11-14,,,32,32,32,
1978-11-15,,,32,32,32,
1978-11-16,,,32,32,32,
1978-11-17,,,32,32,32,
1978-11-18,,,32,32,32,
1978-11-19,,,32,32,32,
1978-11-20,,,32,32,32,
1978-11-21,,,32,32,32,
1978-11-22,,,32,32,32,
1978-11-23,,,32,32,32,
1978-11-24,,,32,32,32,
1978-11-25,,,32,32,32,
1978-11-26,,,32,32,32,
1978-11-27,,,32,32,32,
1978-11-28,,,32,32,32,
1978-11-29,,,32,32,32,
1978-11-30,,,32,32,32,
1978-12-01,,,32,32,32,
1978-12-02,,,32,32,32,
1978-12-03,,,32,32,32,
1978-12-04,,,32,32,32,
1978-12-05,,,32,32,32,
1978-12-06,,,32,32,32,
1978-12-07,,,32,32,32,
1978-12-08,,,32,32,32,
1978-12-09,,,32,32,32,
1978-12-10,,,32,32,32,
1978-12-11,,,32,32,32,
1978-12-12,,,32,32,32,
1978-12-13,,,32,32,32,
1978-12-14,,,32,32,32,
1978-12-15,,,,,,
1978-12-16,,,,,,
1978-12-17,,,32,32,32,
1978-12-18,,,32,32,32,
1978-12-19,,,32,32,32,
1978-12-20,,,32,32,32,
1978-12-21,,,32,32,32,
1978-12-22,,,32,32,32,
