#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1217: Rees Flat, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rees Flat (1217) 
# Utah  SNOTEL Site - 7206 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 1, 2019 4:31:10 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2012-10-01,0.0,0.0,,,50,0.00
2012-10-02,0.0,0.0,,,50,0.00
2012-10-03,0.0,0.0,,,50,0.00
2012-10-04,0.0,0.0,,,47,0.00
2012-10-05,0.0,0.0,,,44,0.00
2012-10-06,0.0,0.0,,,37,0.00
2012-10-07,0.0,0.0,,,33,0.00
2012-10-08,0.0,0.0,,,42,0.00
2012-10-09,0.0,0.0,,,49,0.00
2012-10-10,0.0,0.0,,,49,0.00
2012-10-11,0.0,0.0,,,48,0.00
2012-10-12,0.0,0.0,,,40,0.70
2012-10-13,0.0,0.7,,,40,0.10
2012-10-14,0.0,0.8,,,41,0.00
2012-10-15,0.0,0.8,,,44,0.00
2012-10-16,0.0,0.8,,,49,0.00
2012-10-17,0.0,0.8,,,36,0.00
2012-10-18,0.0,0.8,,,37,0.00
2012-10-19,0.0,0.8,,,42,0.00
2012-10-20,0.0,0.8,,,51,0.00
2012-10-21,0.0,0.8,,,50,0.00
2012-10-22,0.0,0.8,,,49,0.00
2012-10-23,0.0,0.8,,,43,0.10
2012-10-24,0.0,0.9,,,29,0.10
2012-10-25,0.0,1.0,,,25,0.10
2012-10-26,0.0,1.1,,,24,0.00
2012-10-27,0.0,1.1,,,33,0.00
2012-10-28,0.0,1.1,,,38,0.00
2012-10-29,0.0,1.1,,,41,0.00
2012-10-30,0.0,1.1,,,41,0.00
2012-10-31,0.0,1.1,,,43,0.00
2012-11-01,0.0,1.1,,,43,0.00
2012-11-02,0.0,1.1,,,38,0.00
2012-11-03,0.0,1.1,,,36,0.00
2012-11-04,0.0,1.1,,,38,0.00
2012-11-05,0.0,1.1,,,38,0.00
2012-11-06,0.0,1.1,,,38,0.00
2012-11-07,0.0,1.1,,,40,0.00
2012-11-08,0.0,1.1,,,45,0.00
2012-11-09,0.0,1.1,,,36,1.10
2012-11-10,0.6,2.2,,,23,0.40
2012-11-11,1.0,2.6,,,14,0.20
2012-11-12,1.1,2.8,,,18,0.00
2012-11-13,1.1,2.8,,,24,0.00
2012-11-14,1.1,2.8,,,29,0.00
2012-11-15,1.1,2.8,,,30,0.00
2012-11-16,1.1,2.8,,,38,0.10
2012-11-17,1.2,2.9,,,39,0.40
2012-11-18,1.3,3.3,,,38,0.00
2012-11-19,1.3,3.3,,,35,0.00
2012-11-20,1.2,3.3,,,36,0.00
2012-11-21,1.2,3.3,,,41,0.00
2012-11-22,1.2,3.3,,,31,0.00
2012-11-23,1.2,3.3,,,32,0.00
2012-11-24,1.1,3.3,,,34,0.00
2012-11-25,1.1,3.3,,,33,0.00
2012-11-26,1.1,3.3,,,27,0.00
2012-11-27,1.1,3.3,,,31,0.00
2012-11-28,1.1,3.3,,,36,0.00
2012-11-29,1.1,3.3,,,40,0.00
2012-11-30,1.1,3.3,,,40,0.10
2012-12-01,1.3,3.4,,,37,0.00
2012-12-02,1.3,3.4,,,39,0.50
2012-12-03,1.8,3.9,,,27,0.00
2012-12-04,1.8,3.9,,,33,0.00
2012-12-05,1.8,3.9,,,39,0.00
2012-12-06,1.8,3.9,,,35,0.10
2012-12-07,1.8,4.0,,,31,0.00
2012-12-08,1.8,4.0,,,28,0.30
2012-12-09,2.0,4.3,,,16,0.00
2012-12-10,2.0,4.3,,,20,0.10
2012-12-11,2.1,4.4,,,27,0.00
2012-12-12,2.1,4.4,,,31,0.00
2012-12-13,2.1,4.4,,,35,0.00
2012-12-14,2.1,4.4,,,33,0.40
2012-12-15,2.4,4.8,,,27,0.20
2012-12-16,2.6,5.0,,,26,0.00
2012-12-17,2.6,5.0,,,33,0.20
2012-12-18,2.8,5.2,,,24,0.80
2012-12-19,3.6,6.0,,,8,0.00
