#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1044: Toketee Airstrip, OR
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Toketee Airstrip (1044) 
# Oregon  SNOTEL Site - 3240 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 6:00:40 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2003-10-01,0.0,0.0,,,,0.00
2003-10-02,0.0,0.0,,,,0.00
2003-10-03,0.0,0.0,,,,0.00
2003-10-04,0.0,0.0,,,,0.00
2003-10-05,0.0,0.0,,,,0.00
2003-10-06,0.0,0.0,,,,0.00
2003-10-07,0.0,0.0,,,,0.00
2003-10-08,0.0,0.0,,,,0.10
2003-10-09,0.0,0.1,,,,0.30
2003-10-10,0.0,0.4,,,,0.20
2003-10-11,0.0,0.6,,,,0.40
2003-10-12,0.0,1.0,,,,0.00
2003-10-13,0.0,1.0,,,,0.00
2003-10-14,0.0,1.0,,,,0.00
2003-10-15,0.0,1.0,,,,0.30
2003-10-16,0.0,1.3,,,,0.00
2003-10-17,0.0,1.3,,,,0.00
2003-10-18,0.0,1.3,,,,0.00
2003-10-19,0.0,1.3,,,,0.00
2003-10-20,0.0,1.3,,,,0.00
2003-10-21,0.0,1.3,,,,0.00
2003-10-22,0.0,1.3,,,,0.10
2003-10-23,0.0,1.4,,,,0.00
2003-10-24,0.0,1.4,,,,0.00
2003-10-25,0.0,1.4,,,,0.00
2003-10-26,0.0,1.4,,,,0.00
2003-10-27,0.0,1.4,,,,0.20
2003-10-28,0.0,1.6,,,,0.10
2003-10-29,0.0,1.7,,,,0.00
2003-10-30,0.0,1.7,,,,0.00
2003-10-31,0.0,1.7,,,,0.00
2003-11-01,0.0,1.7,,,,0.30
2003-11-02,0.0,2.0,,,,0.10
2003-11-03,0.0,2.1,,,,0.10
2003-11-04,0.0,2.2,,,,0.30
2003-11-05,0.0,2.5,,,,0.00
2003-11-06,0.0,2.5,,,,0.00
2003-11-07,0.0,2.5,,,,0.00
2003-11-08,0.0,2.5,,,,0.10
2003-11-09,0.0,2.6,,,,0.00
2003-11-10,0.0,2.6,46,35,41,0.40
2003-11-11,0.2,3.0,47,36,42,0.00
2003-11-12,0.1,3.0,54,32,39,0.00
2003-11-13,0.0,3.0,56,30,38,0.00
2003-11-14,0.0,3.0,52,29,38,0.30
2003-11-15,0.0,3.3,44,36,39,0.40
2003-11-16,0.0,3.7,44,34,39,1.00
2003-11-17,0.0,4.7,43,38,40,0.20
2003-11-18,0.0,4.9,59,38,45,0.00
2003-11-19,0.0,4.9,51,32,39,0.00
2003-11-20,0.1,4.9,40,27,32,0.50
2003-11-21,0.2,5.4,36,28,31,0.10
2003-11-22,0.2,5.5,35,21,28,0.10
2003-11-23,0.0,5.6,44,22,31,0.00
2003-11-24,0.2,5.6,38,28,33,0.20
2003-11-25,0.4,5.8,36,29,33,0.60
2003-11-26,1.0,6.4,40,30,34,0.10
2003-11-27,1.1,6.5,41,24,32,0.10
2003-11-28,1.2,6.6,49,32,39,0.10
2003-11-29,1.3,6.7,44,37,40,0.00
2003-11-30,0.8,6.7,48,36,40,0.00
2003-12-01,0.6,6.7,49,33,40,0.00
2003-12-02,0.3,6.7,52,34,41,0.10
2003-12-03,0.2,6.8,48,33,42,0.00
2003-12-04,0.0,6.8,50,33,43,0.70
2003-12-05,0.1,7.5,49,42,45,0.50
2003-12-06,0.1,8.0,45,32,37,0.90
2003-12-07,0.1,8.9,37,34,34,0.80
2003-12-08,0.5,9.7,42,33,35,0.10
2003-12-09,0.3,9.8,39,33,36,0.00
2003-12-10,0.3,9.8,42,33,36,0.10
2003-12-11,0.1,9.9,43,32,36,0.00
2003-12-12,0.1,9.9,40,34,36,1.40
2003-12-13,0.1,11.3,49,34,42,3.40
2003-12-14,1.0,14.7,35,26,32,0.60
2003-12-15,1.3,15.3,37,23,30,0.00
2003-12-16,1.1,15.3,36,28,32,0.10
2003-12-17,1.3,15.4,42,32,35,0.00
2003-12-18,1.1,15.4,48,30,36,0.10
2003-12-19,1.1,15.5,55,33,41,0.50
2003-12-20,1.3,16.0,48,35,39,0.00
2003-12-21,1.1,16.0,49,32,37,0.00
2003-12-22,0.9,16.0,48,30,37,0.00
2003-12-23,1.0,16.0,48,38,44,0.30
2003-12-24,1.1,16.3,41,34,38,0.40
2003-12-25,0.9,16.7,35,26,32,0.10
2003-12-26,1.2,16.8,36,22,29,0.00
2003-12-27,1.0,16.8,37,28,32,0.30
2003-12-28,1.4,17.1,37,33,34,1.00
2003-12-29,2.4,18.1,37,29,33,0.40
2003-12-30,2.6,18.5,36,23,30,0.10
2003-12-31,2.5,18.6,39,32,34,0.50
2004-01-01,2.9,19.1,39,29,33,0.80
2004-01-02,4.0,19.9,36,27,29,0.50
2004-01-03,4.3,20.4,35,27,30,0.30
2004-01-04,4.5,20.7,34,28,30,0.30
2004-01-05,4.6,21.0,38,26,32,0.20
2004-01-06,4.6,21.2,39,33,35,0.30
2004-01-07,4.7,21.5,47,34,39,0.00
2004-01-08,4.6,21.5,45,37,40,0.10
2004-01-09,4.5,21.6,54,36,46,0.00
2004-01-10,4.4,21.6,52,31,38,0.00
2004-01-11,4.2,21.6,55,30,37,0.00
2004-01-12,4.3,21.6,51,32,39,0.10
2004-01-13,4.1,21.7,59,31,39,0.00
2004-01-14,4.0,21.7,44,36,39,0.00
2004-01-15,4.2,21.7,49,35,39,0.00
2004-01-16,4.0,21.7,54,29,36,0.00
2004-01-17,4.0,21.7,49,28,35,0.30
2004-01-18,3.8,22.0,47,34,39,0.20
2004-01-19,3.8,22.2,41,35,37,0.10
2004-01-20,3.8,22.3,49,29,35,0.00
2004-01-21,3.8,22.3,51,25,33,0.00
2004-01-22,3.1,22.3,54,24,33,0.20
2004-01-23,3.2,22.5,43,33,38,1.10
2004-01-24,3.9,23.6,39,29,34,0.20
2004-01-25,3.9,23.8,36,30,32,0.10
2004-01-26,3.9,23.9,37,27,32,0.70
2004-01-27,4.5,24.6,43,34,36,0.60
2004-01-28,4.3,25.2,43,34,38,0.40
2004-01-29,4.3,25.6,49,39,45,0.20
2004-01-30,3.6,25.8,48,30,34,0.50
2004-01-31,4.0,26.3,38,28,32,0.20
2004-02-01,4.1,26.5,45,33,36,0.10
2004-02-02,4.2,26.6,45,35,38,0.20
2004-02-03,4.2,26.8,45,33,36,0.00
2004-02-04,4.0,26.8,45,31,36,0.00
2004-02-05,3.8,26.8,51,29,36,0.30
2004-02-06,3.8,27.1,42,34,36,0.60
2004-02-07,3.9,27.7,40,31,35,0.00
2004-02-08,3.9,27.7,44,28,34,0.00
2004-02-09,3.8,27.7,51,25,35,0.00
2004-02-10,3.9,27.7,64,27,39,0.00
2004-02-11,4.0,27.7,62,29,40,0.00
2004-02-12,4.0,27.7,64,27,42,0.00
2004-02-13,3.8,27.7,49,35,42,0.30
2004-02-14,3.8,28.0,49,32,38,0.60
2004-02-15,3.8,28.6,46,33,38,0.40
2004-02-16,3.7,29.0,44,37,41,0.80
2004-02-17,3.4,29.8,46,36,41,1.70
2004-02-18,2.9,31.5,42,35,38,0.10
2004-02-19,2.6,31.6,50,29,37,0.00
2004-02-20,2.1,31.6,51,27,36,0.10
2004-02-21,2.0,31.7,50,32,39,0.10
2004-02-22,1.9,31.8,51,35,41,0.10
2004-02-23,1.5,31.9,51,34,40,0.00
2004-02-24,0.9,31.9,46,31,39,0.20
2004-02-25,0.5,32.1,47,36,40,0.50
2004-02-26,0.3,32.6,46,35,38,0.10
2004-02-27,0.1,32.7,42,34,36,0.00
2004-02-28,0.0,32.7,44,32,37,0.00
2004-02-29,0.0,32.7,43,31,35,0.30
2004-03-01,0.0,33.0,42,34,37,0.20
2004-03-02,0.0,33.2,49,30,38,0.00
2004-03-03,0.0,33.2,38,29,33,0.40
2004-03-04,0.0,33.6,40,34,36,0.30
2004-03-05,0.0,33.9,42,33,37,0.00
2004-03-06,0.0,33.9,54,34,41,0.00
2004-03-07,0.0,33.9,68,32,47,0.00
2004-03-08,0.0,33.9,75,34,50,0.00
2004-03-09,0.0,33.9,62,35,46,0.00
2004-03-10,0.0,33.9,67,29,44,0.00
2004-03-11,0.0,33.9,70,32,47,0.00
2004-03-12,0.0,33.9,63,31,45,0.00
2004-03-13,0.0,33.9,67,29,47,0.00
2004-03-14,0.0,33.9,63,34,47,0.00
2004-03-15,0.0,33.9,65,29,45,0.00
2004-03-16,0.0,33.9,67,31,46,0.00
2004-03-17,0.0,33.9,69,31,47,0.10
2004-03-18,0.0,34.0,63,36,45,0.20
2004-03-19,0.0,34.2,57,29,41,0.00
2004-03-20,0.0,34.2,78,29,50,0.00
2004-03-21,0.0,34.2,73,36,52,0.00
2004-03-22,0.0,34.2,69,34,50,0.00
2004-03-23,0.0,34.2,59,38,47,0.00
2004-03-24,0.0,34.2,49,38,42,0.40
2004-03-25,0.0,34.6,44,33,38,0.30
2004-03-26,0.0,34.9,42,33,37,0.60
2004-03-27,0.0,35.5,52,32,41,0.00
2004-03-28,0.0,35.5,71,29,47,0.00
2004-03-29,0.0,35.5,74,35,54,0.10
2004-03-30,0.0,35.6,47,34,40,0.00
2004-03-31,0.0,35.6,48,28,37,0.00
2004-04-01,0.0,35.6,53,25,37,0.10
2004-04-02,0.0,35.7,67,31,48,0.00
2004-04-03,0.0,35.7,68,34,50,0.00
2004-04-04,0.0,35.7,66,33,49,0.00
2004-04-05,0.0,35.7,53,42,45,0.00
2004-04-06,0.0,35.7,58,38,46,0.00
2004-04-07,0.0,35.7,61,32,46,0.00
2004-04-08,0.0,35.7,65,36,49,0.00
2004-04-09,0.0,35.7,73,33,51,0.10
2004-04-10,0.0,35.8,73,35,53,0.10
2004-04-11,0.0,35.9,76,35,56,0.00
2004-04-12,0.0,35.9,62,38,49,0.10
2004-04-13,0.0,36.0,54,38,44,0.40
2004-04-14,0.0,36.4,51,33,40,0.20
2004-04-15,0.0,36.6,45,34,37,0.60
2004-04-16,0.0,37.2,48,32,38,0.30
2004-04-17,0.0,37.5,47,34,38,0.50
2004-04-18,0.0,38.0,48,34,39,0.20
2004-04-19,0.0,38.2,51,33,40,0.60
2004-04-20,0.0,38.8,43,34,38,1.00
2004-04-21,0.0,39.8,42,34,37,0.70
2004-04-22,0.0,40.5,63,31,45,0.00
2004-04-23,0.0,40.5,57,33,45,0.00
2004-04-24,0.0,40.5,68,31,48,0.00
2004-04-25,0.0,40.5,80,36,57,0.00
2004-04-26,0.0,40.5,83,42,62,0.00
2004-04-27,0.0,40.5,73,40,57,0.00
2004-04-28,0.0,40.5,61,31,46,0.00
2004-04-29,0.0,40.5,74,30,52,0.00
2004-04-30,0.0,40.5,77,36,57,0.00
2004-05-01,0.0,40.5,77,40,58,0.00
2004-05-02,0.0,40.5,76,38,57,0.00
2004-05-03,0.0,40.5,74,41,56,0.00
2004-05-04,0.0,40.5,61,36,48,0.10
2004-05-05,0.0,40.6,62,38,49,0.00
2004-05-06,0.0,40.6,67,33,50,0.00
2004-05-07,0.0,40.6,57,36,46,0.80
2004-05-08,0.0,41.4,58,39,47,0.00
2004-05-09,0.0,41.4,52,41,45,0.20
2004-05-10,0.0,41.6,47,39,42,0.50
2004-05-11,0.0,42.1,52,37,42,0.00
2004-05-12,0.0,42.1,61,37,48,0.00
2004-05-13,0.0,42.1,66,31,49,0.10
2004-05-14,0.0,42.2,68,36,52,0.00
2004-05-15,0.0,42.2,58,43,49,0.00
2004-05-16,0.0,42.2,63,40,50,0.00
2004-05-17,0.0,42.2,60,36,47,0.60
2004-05-18,0.0,42.8,49,43,46,0.70
2004-05-19,0.0,43.5,62,43,50,0.00
2004-05-20,0.0,43.5,67,38,50,0.50
2004-05-21,0.0,44.0,64,44,52,0.00
2004-05-22,0.0,44.0,52,41,46,0.00
2004-05-23,0.0,44.0,58,37,46,0.00
2004-05-24,0.0,44.0,69,33,52,0.10
2004-05-25,0.0,44.1,72,40,56,0.00
2004-05-26,0.0,44.1,66,49,56,0.10
2004-05-27,0.0,44.2,56,46,51,0.30
2004-05-28,0.0,44.5,51,40,44,0.50
2004-05-29,0.0,45.0,54,38,45,0.00
2004-05-30,0.0,45.0,64,36,50,0.00
2004-05-31,0.0,45.0,68,42,54,0.00
2004-06-01,0.0,45.0,70,37,55,0.00
2004-06-02,0.0,45.0,74,39,57,0.10
2004-06-03,0.0,45.1,77,44,60,0.00
2004-06-04,0.0,45.1,82,42,62,0.00
2004-06-05,0.0,45.1,62,46,52,0.00
2004-06-06,0.0,45.1,58,43,48,0.10
2004-06-07,0.0,45.2,52,40,44,0.30
2004-06-08,0.0,45.5,51,41,45,0.20
2004-06-09,0.0,45.7,48,45,46,0.70
2004-06-10,0.0,46.4,53,44,47,0.00
2004-06-11,0.0,46.4,59,41,49,0.00
2004-06-12,0.0,46.4,64,39,52,0.00
2004-06-13,0.0,46.4,66,47,55,0.00
2004-06-14,0.0,46.4,67,43,54,0.00
2004-06-15,0.0,46.4,73,38,57,0.00
2004-06-16,0.0,46.4,82,41,64,0.00
2004-06-17,0.0,46.4,85,43,65,0.00
2004-06-18,0.0,46.4,79,47,64,0.00
2004-06-19,0.0,46.4,76,45,62,0.00
2004-06-20,0.0,46.4,80,42,62,0.00
2004-06-21,0.0,46.4,83,44,65,0.00
2004-06-22,0.0,46.4,75,47,61,0.00
2004-06-23,0.0,46.4,78,52,63,0.00
2004-06-24,0.0,46.4,76,49,62,0.00
2004-06-25,0.0,46.4,75,50,62,0.00
2004-06-26,0.0,46.4,70,48,59,0.00
2004-06-27,0.0,46.4,73,42,58,0.10
