#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1118: Lost Creek Resv, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lost Creek Resv (1118) 
# Utah  SNOTEL Site - 6082 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 6:04:24 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2010-10-01,0.0,0.0,83,32,55,0.00
2010-10-02,0.0,0.0,84,38,58,0.00
2010-10-03,0.0,0.0,78,37,55,0.00
2010-10-04,0.0,0.0,66,42,50,0.30
2010-10-05,0.0,0.3,65,42,53,0.10
2010-10-06,0.0,0.4,65,41,51,0.00
2010-10-07,0.0,0.4,62,36,46,0.30
2010-10-08,0.0,0.7,52,34,41,0.50
2010-10-09,0.0,1.2,58,34,44,0.10
2010-10-10,0.0,1.3,63,32,45,0.00
2010-10-11,0.0,1.3,61,34,45,0.00
2010-10-12,0.0,1.3,61,29,42,0.00
2010-10-13,0.0,1.3,67,28,44,0.00
2010-10-14,0.0,1.3,69,27,44,0.10
2010-10-15,0.0,1.4,69,28,46,0.00
2010-10-16,0.0,1.4,69,31,48,0.00
2010-10-17,0.0,1.4,66,39,50,0.00
2010-10-18,0.0,1.4,65,37,49,0.00
2010-10-19,0.0,1.4,65,28,44,0.00
2010-10-20,0.0,1.4,69,27,44,0.00
2010-10-21,0.0,1.4,68,29,44,0.00
2010-10-22,0.0,1.4,58,33,46,0.10
2010-10-23,0.0,1.5,52,35,42,0.20
2010-10-24,0.0,1.7,49,36,44,1.20
2010-10-25,0.0,2.9,40,32,35,0.50
2010-10-26,0.0,3.4,38,27,32,0.10
2010-10-27,0.2,3.5,40,23,31,0.00
2010-10-28,0.0,3.5,49,22,34,0.00
2010-10-29,0.0,3.5,61,28,42,0.10
2010-10-30,0.0,3.6,57,33,42,0.20
2010-10-31,0.0,3.8,50,34,41,0.00
2010-11-01,0.0,3.8,56,30,38,0.00
2010-11-02,0.0,3.8,64,29,42,0.10
2010-11-03,0.0,3.9,63,31,44,0.00
2010-11-04,0.0,3.9,65,33,44,0.00
2010-11-05,0.0,3.9,67,29,44,0.00
2010-11-06,0.0,3.9,65,32,45,0.00
2010-11-07,0.0,3.9,58,34,44,0.00
2010-11-08,0.0,3.9,51,33,38,0.30
2010-11-09,0.0,4.2,35,19,29,0.00
2010-11-10,0.0,4.2,38,19,29,0.00
2010-11-11,0.0,4.2,38,22,31,0.00
2010-11-12,0.0,4.2,42,25,33,0.00
2010-11-13,0.0,4.2,38,25,33,0.00
2010-11-14,0.0,4.2,37,31,34,0.10
2010-11-15,0.0,4.3,46,35,39,0.20
2010-11-16,0.0,4.5,44,30,38,0.20
2010-11-17,0.0,4.7,43,22,31,0.00
2010-11-18,0.0,4.7,54,22,38,0.00
2010-11-19,0.0,4.7,51,33,42,0.00
2010-11-20,0.0,4.7,49,28,36,0.60
