#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1225: Redden Mine Lwr, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Redden Mine Lwr (1225) 
# Utah  SNOTEL Site - 8532 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 1, 2019 4:31:16 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2012-10-01,0.0,0.0,,,54,0.10
2012-10-02,0.0,0.1,,,55,0.00
2012-10-03,0.0,0.1,,,50,0.00
2012-10-04,0.0,0.1,,,47,0.00
2012-10-05,0.0,0.1,,,39,0.00
2012-10-06,0.0,0.1,,,37,0.00
2012-10-07,0.0,0.1,,,38,0.10
2012-10-08,0.0,0.2,,,46,0.00
2012-10-09,0.0,0.2,,,49,0.00
2012-10-10,0.0,0.2,,,51,0.00
2012-10-11,0.0,0.2,,,52,0.00
2012-10-12,0.0,0.2,,,42,0.40
2012-10-13,0.0,0.6,,,37,0.30
2012-10-14,0.0,0.9,,,43,0.00
2012-10-15,0.0,0.9,,,47,0.00
2012-10-16,0.0,0.9,,,44,0.10
2012-10-17,0.0,1.0,,,33,0.00
2012-10-18,0.0,1.0,,,41,0.00
2012-10-19,0.0,1.0,,,47,0.00
2012-10-20,0.0,1.0,,,51,0.00
2012-10-21,0.0,1.0,,,46,0.00
2012-10-22,0.0,1.0,,,45,0.10
2012-10-23,0.1,1.1,,,34,0.40
2012-10-24,0.1,1.5,,,26,0.10
2012-10-25,0.1,1.6,,,22,0.60
2012-10-26,0.8,2.2,,,26,0.10
2012-10-27,0.8,2.3,,,34,0.00
2012-10-28,0.8,2.3,,,41,0.00
2012-10-29,0.6,2.3,,,45,0.00
2012-10-30,0.7,2.3,,,47,0.00
2012-10-31,0.6,2.3,,,49,0.00
2012-11-01,0.5,2.3,,,45,0.00
2012-11-02,0.5,2.3,,,40,0.00
2012-11-03,0.5,2.3,,,40,0.00
2012-11-04,0.5,2.3,,,42,0.00
2012-11-05,0.5,2.3,,,42,0.00
2012-11-06,0.5,2.3,,,46,0.00
2012-11-07,0.5,2.3,,,47,0.00
2012-11-08,0.5,2.3,,,45,0.10
2012-11-09,0.6,2.4,,,29,1.30
2012-11-10,1.8,3.7,,,17,0.60
2012-11-11,2.4,4.3,,,13,0.50
2012-11-12,2.8,4.8,,,23,0.00
2012-11-13,2.8,4.8,,,31,0.00
2012-11-14,2.8,4.8,,,34,0.00
2012-11-15,2.8,4.8,,,37,0.00
2012-11-16,2.8,4.8,,,36,0.10
2012-11-17,2.9,4.9,,,35,0.70
2012-11-18,3.4,5.6,,,34,0.40
2012-11-19,3.7,6.0,,,36,0.00
2012-11-20,3.7,6.0,,,39,0.00
2012-11-21,3.7,6.0,,,40,0.00
2012-11-22,3.6,6.0,,,31,0.00
2012-11-23,3.5,6.0,,,40,0.00
2012-11-24,3.5,6.0,,,41,0.00
2012-11-25,3.4,6.0,,,35,0.00
2012-11-26,3.4,6.0,,,33,0.00
2012-11-27,3.4,6.0,,,38,0.00
2012-11-28,3.4,6.0,,,40,0.00
2012-11-29,3.4,6.0,,,38,0.00
2012-11-30,3.4,6.0,,,37,0.20
2012-12-01,3.7,6.2,,,37,0.10
2012-12-02,3.8,6.3,,,36,0.50
2012-12-03,4.2,6.8,,,26,0.00
2012-12-04,4.2,6.8,,,35,0.10
2012-12-05,4.4,6.9,,,37,0.10
2012-12-06,4.5,7.0,,,33,0.00
2012-12-07,4.5,7.0,,,26,0.00
2012-12-08,4.5,7.0,,,19,0.50
2012-12-09,4.8,7.5,,,11,0.00
