#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1136: Toe Jam, NV
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Toe Jam (1136) 
# Nevada  SNOTEL Site - 7700 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 1, 2019 4:22:05 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2009-10-01,0.0,0.0,45,17,31,0.00
2009-10-02,0.0,0.0,51,24,36,0.00
2009-10-03,0.0,0.0,47,28,36,0.00
2009-10-04,0.0,0.0,32,23,27,0.20
2009-10-05,0.2,0.2,32,20,28,0.50
2009-10-06,0.6,0.7,43,16,29,0.10
2009-10-07,0.4,0.8,49,21,35,0.00
2009-10-08,0.2,0.8,43,29,35,0.00
2009-10-09,0.1,0.8,48,32,39,0.10
2009-10-10,0.1,0.9,47,27,38,0.00
2009-10-11,0.1,0.9,49,33,42,0.00
2009-10-12,0.0,0.9,55,34,44,0.00
2009-10-13,0.0,0.9,45,29,36,0.80
2009-10-14,0.0,1.7,48,36,41,0.00
2009-10-15,0.0,1.7,51,30,40,0.00
2009-10-16,0.0,1.7,58,33,45,0.10
2009-10-17,0.0,1.8,62,36,51,0.00
2009-10-18,0.0,1.8,61,40,51,0.40
2009-10-19,0.0,2.2,44,34,38,0.50
2009-10-20,0.2,2.7,41,29,34,0.00
2009-10-21,0.2,2.7,47,28,36,0.00
2009-10-22,0.2,2.7,50,31,40,0.10
2009-10-23,0.2,2.8,50,36,42,0.20
2009-10-24,0.2,3.0,43,31,38,0.00
2009-10-25,1.0,3.0,44,25,33,0.00
2009-10-26,0.1,3.0,48,25,38,0.10
2009-10-27,0.4,3.1,25,17,21,0.10
2009-10-28,0.5,3.2,21,15,18,0.00
2009-10-29,0.5,3.2,29,16,22,0.20
2009-10-30,0.8,3.4,39,27,34,0.20
2009-10-31,0.6,3.6,49,31,41,0.00
2009-11-01,0.5,3.6,49,31,39,0.00
2009-11-02,0.3,3.6,51,31,40,0.00
2009-11-03,0.3,3.6,56,32,42,0.00
2009-11-04,0.3,3.6,58,36,45,0.00
2009-11-05,0.3,3.6,54,36,46,0.00
2009-11-06,0.3,3.6,45,33,38,0.00
2009-11-07,0.3,3.6,40,24,34,0.00
2009-11-08,0.3,3.6,41,16,27,0.00
2009-11-09,0.3,3.6,46,22,34,0.00
2009-11-10,0.3,3.6,42,30,36,0.00
2009-11-11,0.3,3.6,45,30,40,0.00
2009-11-12,0.3,3.6,36,18,27,0.00
2009-11-13,0.3,3.6,27,9,21,0.10
2009-11-14,0.4,3.7,24,-1,14,0.00
2009-11-15,0.4,3.7,33,0,18,0.10
2009-11-16,0.5,3.8,47,23,34,0.10
2009-11-17,0.6,3.9,51,29,39,0.00
2009-11-18,0.6,3.9,41,18,29,0.00
2009-11-19,0.6,3.9,41,19,30,0.00
2009-11-20,0.6,3.9,45,25,35,0.10
2009-11-21,0.7,4.0,30,13,22,0.00
2009-11-22,0.7,4.0,30,15,24,0.20
2009-11-23,0.9,4.2,31,8,20,0.00
2009-11-24,0.9,4.2,44,19,29,0.00
2009-11-25,0.9,4.2,46,22,31,0.00
2009-11-26,0.9,4.2,47,26,36,0.10
2009-11-27,1.0,4.3,42,27,34,0.00
2009-11-28,1.0,4.3,32,20,25,0.00
2009-11-29,1.0,4.3,39,19,29,0.00
2009-11-30,1.0,4.3,45,19,29,0.00
2009-12-01,1.0,4.3,37,22,28,0.00
2009-12-02,1.0,4.3,31,8,19,0.00
2009-12-03,1.0,4.3,27,9,17,0.00
2009-12-04,1.0,4.3,34,15,25,0.00
2009-12-05,1.0,4.3,23,-7,8,0.00
2009-12-06,1.0,4.3,15,-7,7,0.10
2009-12-07,1.1,4.4,17,-4,10,0.00
2009-12-08,1.1,4.4,7,-7,1,0.00
2009-12-09,1.1,4.4,11,-3,4,0.00
2009-12-10,1.1,4.4,24,-3,12,0.00
2009-12-11,1.1,4.4,32,10,23,0.30
2009-12-12,1.4,4.7,28,25,26,0.20
2009-12-13,1.6,4.9,29,24,26,0.90
