#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1083: Tres Ritos, NM
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tres Ritos (1083) 
# New Mexico  SNOTEL Site - 8600 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 5:57:07 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2006-09-21,,,79,4917,4917,
2006-09-22,,,62,32,38,
2006-09-23,,,61,30,39,
2006-09-24,,,80,22,40,
2006-09-25,,,98,26,43,
2006-09-26,,,102,35,52,
2006-09-27,,,93,33,51,
2006-09-28,,,118,32,49,
2006-09-29,,,129,,50,
2006-09-30,,,127,32,49,
2006-10-01,0.0,0.0,82,36,53,0.00
2006-10-02,0.0,0.0,113,38,52,0.00
2006-10-03,0.0,0.0,104,39,51,0.00
2006-10-04,0.0,0.0,109,37,52,0.00
2006-10-05,0.0,0.0,86,36,52,0.00
2006-10-06,0.0,0.0,113,33,51,0.00
2006-10-07,0.0,0.0,102,34,51,0.00
2006-10-08,0.0,0.0,91,31,43,0.50
2006-10-09,0.0,0.5,89,27,39,0.40
2006-10-10,0.0,0.9,110,34,39,0.00
2006-10-11,0.0,0.9,105,28,44,0.00
2006-10-12,0.0,0.9,57,31,44,0.00
2006-10-13,0.0,0.9,110,31,43,0.00
2006-10-14,0.0,0.9,97,21,44,0.00
2006-10-15,0.0,0.9,89,28,41,0.20
2006-10-16,0.0,1.1,110,20,41,0.00
2006-10-17,0.0,1.1,95,27,41,0.10
2006-10-18,0.0,1.2,48,4917,4917,0.00
2006-10-19,0.0,1.2,105,27,36,0.00
2006-10-20,0.0,1.2,71,25,40,0.00
2006-10-21,0.0,1.2,86,30,40,0.00
2006-10-22,0.0,1.2,108,28,39,0.00
2006-10-23,0.0,1.2,70,29,42,0.00
2006-10-24,0.0,1.2,77,31,41,0.10
2006-10-25,0.0,1.3,47,29,39,0.30
2006-10-26,0.0,1.6,61,21,27,0.20
2006-10-27,0.0,1.8,54,14,31,0.00
2006-10-28,0.0,1.8,107,23,38,0.00
2006-10-29,0.0,1.8,100,24,41,0.00
2006-10-30,0.0,1.8,92,28,40,0.00
2006-10-31,0.0,1.8,72,31,41,0.00
2006-11-01,0.0,1.8,83,24,37,0.00
2006-11-02,0.0,1.8,101,23,38,0.00
2006-11-03,0.0,1.8,91,22,42,0.00
2006-11-04,0.0,1.8,96,30,41,0.00
2006-11-05,0.0,1.8,105,23,38,0.00
2006-11-06,0.0,1.8,67,29,40,0.00
2006-11-07,0.0,1.8,60,33,43,0.00
2006-11-08,0.0,1.8,111,28,49,0.00
2006-11-09,0.0,1.8,92,34,47,0.00
2006-11-10,0.0,1.8,101,21,35,0.00
2006-11-11,0.0,1.8,107,13,36,0.00
2006-11-12,0.0,1.8,77,21,34,0.10
2006-11-13,0.0,1.9,83,17,29,0.00
