#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 938: Buckskin Joe, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Buckskin Joe (938) 
# Colorado  SNOTEL Site - 11150 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 5:45:52 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1999-07-27,,,70,43,50,
1999-07-28,,,65,43,51,
1999-07-29,,,68,46,53,
1999-07-30,,,60,42,50,
1999-07-31,,,58,41,46,
1999-08-01,,,56,38,44,
1999-08-02,,,67,38,47,
1999-08-03,,,61,37,47,
1999-08-04,,,51,44,46,
1999-08-05,,,56,43,47,
1999-08-06,,,60,42,48,
1999-08-07,,,63,40,48,
1999-08-08,,,63,39,50,
1999-08-09,,,56,42,47,
1999-08-10,,,62,42,49,
1999-08-11,,,61,43,49,
1999-08-12,,,59,41,47,
1999-08-13,,,66,38,50,
1999-08-14,,,65,43,51,
1999-08-15,,,60,39,48,
1999-08-16,,,62,41,49,
1999-08-17,,,64,42,49,
1999-08-18,,,65,39,49,
1999-08-19,,,61,40,47,
1999-08-20,,,63,44,51,
1999-08-21,,,62,41,47,
1999-08-22,,,64,40,49,
1999-08-23,,,64,39,50,
1999-08-24,,,63,41,49,
1999-08-25,,,64,42,48,
1999-08-26,,,65,41,49,
1999-08-27,,,59,41,47,
1999-08-28,,,52,40,46,
1999-08-29,,,59,41,48,
1999-08-30,,,65,42,49,
1999-08-31,,,61,44,50,
1999-09-01,,,59,42,48,
1999-09-02,,,59,37,46,
1999-09-03,,,55,35,45,
1999-09-04,,,58,35,43,
1999-09-05,,,61,32,44,
1999-09-06,,,62,44,49,
1999-09-07,,,63,37,49,
1999-09-08,,,64,33,45,
1999-09-09,,,63,36,49,
1999-09-10,,,60,37,45,
1999-09-11,,,48,33,39,
1999-09-12,,,56,33,42,
1999-09-13,,,60,37,45,
1999-09-14,,,57,33,42,
1999-09-15,,,44,31,36,
1999-09-16,,,53,31,38,
1999-09-17,,,48,33,38,
1999-09-18,,,54,34,42,
1999-09-19,,,46,34,38,
1999-09-20,,,44,30,35,
1999-09-21,,,56,26,39,
1999-09-22,,,60,36,45,
1999-09-23,,,57,36,45,
1999-09-24,,,50,34,40,
1999-09-25,,,58,40,48,
1999-09-26,,,57,32,46,
1999-09-27,,,45,26,34,
1999-09-28,,,34,18,25,
1999-09-29,,,55,,41,
1999-09-30,,,58,33,44,
1999-10-01,0.0,0.0,55,31,43,0.00
1999-10-02,0.0,0.0,50,30,40,0.00
1999-10-03,0.0,0.0,52,32,40,0.00
1999-10-04,0.0,0.0,54,33,42,0.00
1999-10-05,0.0,0.0,58,31,43,0.00
1999-10-06,0.0,0.0,51,34,42,0.30
1999-10-07,0.2,0.3,37,29,32,0.40
1999-10-08,0.5,0.7,46,28,36,0.00
1999-10-09,0.4,0.7,57,36,44,0.00
1999-10-10,0.4,0.7,58,35,44,0.00
1999-10-11,0.2,0.7,57,36,45,0.00
1999-10-12,0.1,0.7,56,39,46,0.00
1999-10-13,0.1,0.7,59,38,46,0.00
1999-10-14,0.1,0.7,54,39,45,0.00
1999-10-15,0.0,0.7,51,31,41,0.00
1999-10-16,0.0,0.7,31,6,19,0.10
1999-10-17,0.0,0.8,37,5,22,0.10
1999-10-18,0.1,0.9,38,20,28,0.20
