#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 13083500: Oakley Reservoir, ID
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Oakley Reservoir (13083500) 
# Idaho  RESERVOIR Site - 4766 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:52:29 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1912,,,,,,,,,,,8100,10600
1913,11900,13500,15400,18600,25900,30800,28200,21300,14100,9400,9900,11500
1914,12700,14500,18400,27500,39300,48400,48700,29700,19400,15600,16100,17400
1915,18800,19900,21600,24100,24500,23600,17600,4000,1300,0,900,2100
1916,3700,5400,7900,14000,22200,28100,20100,8200,2500,0,1500,3200
1917,4800,6200,8200,14100,23700,42200,47100,32600,24300,21800,21100,22500
1918,24800,25600,28900,32500,34700,30600,21800,9500,5200,2000,4500,6000
1919,7900,8700,10800,15900,23200,16400,6400,0,0,0,0,2400
1920,4100,5900,8700,10900,15600,16200,6400,0,0,0,1200,3600
1921,5500,9100,18400,29600,44200,69900,68600,48800,37800,30700,32300,34400
1922,36900,38100,39600,46200,53300,67600,56500,37000,30200,24000,25300,27300
1923,29100,31500,33600,38700,46200,46800,42600,27000,18200,12600,15200,17800
1924,19700,21300,26700,29200,35400,29000,21800,9400,4300,2300,3900,6000
1925,10000,11300,13300,17500,25500,26500,22800,10600,7000,4200,6400,8700
1926,10800,12800,15100,19100,21400,13500,7500,2900,1600,0,1300,3900
1927,5600,7500,12500,16400,19100,22400,16100,8100,5100,1800,3600,6100
1928,7900,10100,13000,19900,24000,22500,18500,8300,3200,500,2500,4300
1929,6000,7600,9400,13800,20000,23700,19600,7100,3900,1400,3200,4900
1930,7000,8400,11000,13600,15200,13900,7700,2200,1200,700,2300,4000
1931,5600,7400,8900,11700,14100,9800,5400,1600,800,500,1700,2800
1932,4000,5500,7200,10800,15200,19900,17600,9400,3800,900,2200,4300
1933,5400,7100,8400,11400,13100,14600,9800,3900,1200,0,1300,2700
1934,4300,6200,8200,10500,9600,6700,5000,2400,1400,800,1700,3200
1935,4800,6400,8500,11000,12300,13100,10200,4700,2300,700,1600,2700
1936,4000,5700,7300,10600,16200,19500,16600,9800,7400,3800,3200,4800
1937,6400,8200,9600,13100,16300,16200,14200,8200,3500,1400,1600,3400
1938,5600,7700,9800,12900,17800,21900,19100,13500,7500,4100,3200,5100
1939,7100,9000,10600,20600,24900,20800,16200,10800,5800,3000,2500,4000
1940,5600,7800,10100,12900,16200,11300,6500,3000,900,400,1400,2800
1941,4200,5900,8000,10700,14000,10400,8800,4400,2900,0,2100,4100
1942,6100,7900,9900,14600,26400,37900,36500,24000,15600,8500,9600,11500
1943,14000,20000,28100,32800,41100,42100,43300,33000,24600,17500,18600,20200
1944,21400,22800,24600,27400,32700,35000,38000,26900,17100,8200,9600,11300
1945,13000,15200,19100,22800,26900,32000,32400,22300,14400,6500,8200,10300
1946,12400,14600,17200,23100,33600,36300,32500,21500,14900,9900,11900,14100
1947,16400,18000,21100,24300,27700,22300,21000,11600,7300,1800,3300,5200
1948,7300,9200,11700,14600,18300,18600,15200,8000,3800,1400,2800,4600
1949,6500,8300,9700,14300,23600,31100,27800,16400,9800,3900,5600,7600
1950,9300,11400,14300,18200,24600,27000,23800,15200,8000,0,1900,4100
1951,6800,9200,18400,24300,33000,41500,36400,24000,19400,14800,16100,17700
1952,19400,20800,22800,26100,37700,49200,45900,34600,27800,23200,24400,25600
1953,27200,30000,32000,34700,38100,39500,39200,27000,21500,17200,18400,20100
1954,21600,23300,25200,28400,29600,22600,19400,11000,5100,1300,3000,4900
1955,6400,8000,9600,12300,15200,14000,10700,6100,3200,800,2200,4000
1956,6500,9800,11800,19300,25000,25900,20500,10600,6200,1400,3100,5000
1957,7200,8700,12600,16500,20800,30600,29000,14700,8800,1700,3500,5500
1958,7500,9400,16000,19700,26100,31700,26800,14900,8900,5400,6900,8600
1959,10600,13100,15200,18000,20700,17400,11800,5400,2800,0,2200,4100
1960,5600,7300,9400,13400,18300,16300,9800,3900,2000,800,2200,4300
1961,5600,7700,10300,14600,15100,11500,7900,4100,2700,1200,3100,5100
1962,7400,11500,23700,30900,36300,35400,32700,22200,16000,8300,9700,11500
1963,13100,14500,17200,18200,22000,23000,25100,13400,9700,4200,5600,7200
1964,9200,10700,12300,14700,20100,23600,28100,16400,10000,3900,5200,7200
1965,11100,16900,21200,24500,32200,37300,34600,24500,21300,15900,18000,19400
1966,20800,22200,23900,27300,28500,21900,17700,9200,5400,3000,4300,6000
1967,7800,9400,11400,13100,16700,17000,19200,12200,7700,4300,5800,7200
1968,8500,9700,13200,16600,19300,16300,12500,5600,6300,5900,7700,9400
1969,11100,13500,16000,20100,28500,25700,22700,14200,9700,6000,7500,9100
