#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06079500: Gibson Res, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Gibson Res (06079500) 
# Montana  RESERVOIR Site - 4724 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:59:50 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1930,3965,3965,3965,3965,20956,86626,89984,61069,28821,28339,26571,3965
1931,3879,3965,8693,12394,2994,34548,33501,5717,317,3102,6139,11597
1932,17335,22656,28339,35707,44033,90887,90500,61378,39547,42987,50487,58489
1933,63726,63726,63726,66809,70120,93988,91275,68065,41067,54463,84170,85398
1934,68407,62926,72747,80854,92825,92438,90242,59314,34688,30078,40027,56218
1935,64981,74117,76065,70235,88046,92308,90759,56425,23477,21862,25497,32313
1936,38667,44585,50394,56527,90371,92438,85398,22719,3102,42,3210,9456
1937,15285,18636,24677,29380,32663,56115,90242,34688,1830,2606,6171,11109
1938,17391,22593,27902,34968,56011,92696,78890,57766,26760,26255,33151,42427
1939,53845,60243,66352,77293,95537,105009,105966,56941,24740,22151,28960,35247
1940,41867,48273,53741,60759,67723,107060,87917,30218,3145,6820,16329,22593
1941,25119,30078,34618,40267,48919,72862,87142,31196,2778,5847,21579,32663
1942,51961,62513,68865,76065,93342,105009,105966,74837,36667,32313,39307,44217
1943,60553,70920,78153,77048,81223,92438,94116,100908,62203,56218,40347,44678
1944,52053,59933,64182,71262,83679,106239,105692,72975,37307,27777,35627,42907
1945,48550,54463,59211,64753,71605,106239,105009,70920,19484,20616,32593,45231
1946,52708,58282,64182,68865,76679,104599,105009,61378,41787,39787,49933,58695
1947,58695,56734,58179,58591,64639,100361,101455,71605,39707,39307,54670,61997
1948,60965,60965,60139,64410,73204,92308,93470,85152,41387,40347,45877,51409
1949,57663,64182,70578,76065,56115,93470,82451,31056,7177,4257,8905,18410
1950,27267,34269,40827,46799,51961,95666,106786,96958,81100,63268,76802,76065
1951,72291,76556,79995,80609,83556,94375,96312,93729,61171,70007,74346,74960
1952,72291,68294,66581,66809,92567,95408,97733,53328,32942,31405,31754,39547
1953,43572,49565,54154,58179,73889,95279,99541,91533,56941,58798,53947,60655
1954,67494,72633,75942,77416,53638,92696,99154,86135,56837,60243,69207,61171
1955,63954,63954,67152,70691,74837,95279,97216,105692,60449,42267,47997,55186
1956,62307,66466,70691,74592,77048,95537,101318,73661,45416,28681,26950,30637
1957,34548,36907,39147,41627,46061,97991,106376,56941,31615,19145,19314,23793
1958,26508,27964,28751,30916,39307,97862,104326,87917,40107,28472,36187,48919
1959,62926,71149,76065,61894,73204,86135,95666,94246,65210,68407,91533,74714
1960,69436,67494,70806,79504,82696,93600,103232,67265,51224,33291,26381,30008
1961,32593,34758,36907,38587,34130,96699,103368,56734,22719,16769,24614,30078
1962,33990,36187,38987,40987,74346,93083,105009,69207,38747,20390,20673,28611
1963,33613,37307,42987,46153,55702,98766,101865,68407,29240,15931,9329,12942
1964,14935,16429,17278,17844,22088,93083,92050,64068,23351,33291,31545,36187
1965,40187,46153,47997,49841,58798,94375,90500,84784,53638,69778,63864,61683
1966,60397,55424,50817,52894,74419,94916,93748,59233,31907,12624,7749,12962
1967,16808,19584,21859,24296,28959,94267,94267,79006,26324,23369,23308,25555
1968,29431,32117,35042,41032,35847,66873,104313,62550,34319,38050,51488,58084
1969,59496,61899,62333,55223,51200,104313,104583,83696,31628,9441,10896,14249
1970,15533,16700,17187,17679,14098,90400,104177,63425,22578,20100,18567,21207
1971,23186,24796,42898,46898,51681,92972,101224,87090,40535,34463,19356,28025
1972,33745,38916,42468,49962,34824,93748,104448,87090,61683,40206,49397,55424
1973,54025,51681,51874,57980,50531,79984,73705,11123,2699,2982,4200,12194
1974,17460,28758,36368,44473,49303,90016,100825,71934,43944,45095,52552,54423
1975,56234,58709,60503,61683,63534,91940,92843,80475,57444,61621,67142,59463
1976,65095,67904,69442,70441,61829,85167,98024,77905,65631,43536,47814,53984
1977,59057,64138,69885,69112,76494,85167,52434,3517,2542,2141,7412,12087
1978,18935,23223,26707,33633,48459,77315,97766,91895,49204,49111,59057,66708
1979,71336,71336,70999,65309,60589,84308,98671,50050,7773,9269,15810,20919
1980,26835,31307,35621,39846,64669,94814,98671,59565,32284,33275,28201,37770
1981,47630,56844,62768,61933,76143,97508,98153,55356,12896,18602,27417,33418
1982,39360,44493,50333,56247,58652,81628,98412,77905,43969,37147,46269,48367
1983,53983,58652,61829,67033,66168,92274,90134,74751,44844,31654,32003,39119
1984,43019,50617,54668,58652,60589,96222,98412,54433,15967,18217,28267,36226
1985,42507,47082,50902,55159,73831,85536,83941,28797,30073,43882,66817,69444
1986,70999,66062,68124,72578,78618,88758,89258,39200,16706,30277,41245,38480
1987,46178,51857,56445,63188,84922,99059,66600,38878,21734,31238,38085,43537
1988,47538,50997,53886,57746,61545,86524,73032,18658,4991,6549,10311,13924
1989,17401,24753,30209,38242,79572,80412,98152,69444,65631,70999,58551,59566
1990,59770,59159,59566,60179,64456,93288,98666,62874,43278,29064,45910,51474
1991,48645,47999,50239,46901,62249,85044,95710,80774,50808,28136,31865,34950
1992,40337,45776,50334,62979,65203,78024,86153,49393,19102,11162,16652,23466
1993,28070,33062,36839,43969,65523,97895,89634,78618,59159,59770,55357,42764
1994,45820,48367,50523,56247,70108,92653,70665,20459,6091,6665,6129,10488
1995,15086,18163,28005,26644,21970,99059,98671,89634,44319,40174,46719,57243
1996,51570,52145,57846,61002,61934,85414,98800,76728,44844,30346,33633,33348
1997,33923,35172,35024,35810,40460,87267,98865,74694,59311,37810,44016,46559
1998,45030,44323,44411,49104,61970,96347,96089,65880,35517,15597,21192,25308
1999,29971,34799,38146,45566,60041,81892,95765,71996,44411,29795,36736,44888
