#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06216400: Pilot Butte, WY
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Pilot Butte (06216400) 
# Wyoming  RESERVOIR Site - 5450 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:57:30 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1939,,,,,,,,,,,18700,16300
1940,15700,16000,19300,19900,19900,20100,19800,16500,14800,8000,10200,11300
1941,13000,14000,18900,20400,24700,22800,18800,11300,10300,5300,6300,16100
1942,16400,13800,13300,18400,21700,22800,22300,19500,19600,17400,10500,13900
1943,14200,14600,15700,17900,20400,21800,20400,16700,15100,8500,8500,11100
1944,10000,10000,11100,13600,18200,23400,24600,19900,15400,8500,16300,18500
1945,20000,24000,23500,23100,23700,23600,17100,10500,8400,4300,7100,12200
1946,14000,16100,17000,18700,20400,21300,21000,13100,10500,8800,9100,17100
1947,17100,16300,16300,18800,21600,21300,22000,12300,6000,2900,4400,8300
1948,14000,14500,15000,18100,21600,23100,24600,14100,5200,1500,3100,3700
1949,5300,6600,7900,13200,19600,23200,19600,10400,6100,3100,5898,8987
1950,11502,12924,14999,16299,22112,26772,20582,13862,9462,8887,3212,3012
1951,6612,8662,11137,16559,23762,26372,18707,14967,14772,6912,2832,7862
1952,8037,9187,12012,16267,21850,22187,16202,18099,17437,8912,8112,8312
1953,10062,11712,15096,26212,32102,31477,25732,18301,13737,6612,9362,7287
