#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 12332500: East Fork Rock Creek Res, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# East Fork Rock Creek Res (12332500) 
# Montana  RESERVOIR Site - 6056 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:59:45 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1939,,,,,,,,,,,9800,10500
1940,10900,11200,11700,12200,13000,12100,11200,7100,3800,2750,4250,4530
1941,4510,5530,6100,6530,7260,9470,13460,13610,12270,12610,12560,13510
1942,13500,15240,14390,13280,13510,15930,15930,15410,12360,10230,8000,8500
1943,10000,10000,9000,11000,9000,10000,16920,16920,14070,11780,10030,10370
1944,10510,10990,11420,13410,13470,12800,15930,14740,13670,11340,12630,13390
1945,13470,11810,11450,14070,13560,12980,16920,16000,11040,8000,8500,9000
1946,9000,9000,9000,9640,10650,9320,10600,10260,8600,,,
1947,,,,,,,16000,14950,10950,7140,9140,
1948,,,,,12440,16000,16000,16000,12560,9860,,
1949,,,,,,15580,16000,12150,6590,5250,,
1950,,,,,,12910,16000,14300,11810,10480,,
1951,,,,,,16000,16000,15800,11750,8900,,
1952,,,,,,14710,13330,9530,6290,4250,,
1953,,,,,,7660,13710,11280,6640,4320,,
1954,,,,,,10330,11480,9680,,,,
1955,,,,,16000,,,,,2620,2620,2620
1956,2620,2620,2620,2620,2620,14450,14520,12220,6090,3830,,
1957,,,,,,,14900,11120,5780,1690,,
1958,,,,,,14100,16040,15630,10860,5100,,
