#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06224500: Bull Lake, WY
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bull Lake (06224500) 
# Wyoming  RESERVOIR Site - 5805 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:53:45 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1938,,,,0,3100,22200,87300,101700,81400,79200,75900,74700
1939,68700,59800,49600,43500,42800,62100,86300,91700,76600,64300,66100,64000
1940,58100,45400,38800,37800,38800,63100,94400,61800,19200,14400,22600,21400
1941,16700,11500,11200,12200,15700,49900,104600,134100,128000,120400,101300,95200
1942,89300,80300,71800,65100,67700,89300,119600,125000,104000,88200,87400,81000
1943,75200,64500,57300,49600,46600,41300,109400,123700,119900,110200,104600,101500
1944,92400,85100,78500,77700,79800,115200,125600,120700,97200,84900,79900,75300
1945,66300,58200,54800,52200,50700,68300,117500,125600,111700,92800,76400,75600
1946,69900,61900,53600,48300,52400,72500,118600,122700,103200,102100,93200,93200
1947,91600,83500,75200,69500,68400,108700,126400,125500,122000,121400,118200,114300
1948,108000,96300,87700,79400,69400,96400,124400,122400,104000,81300,77100,74600
1949,65600,56600,47700,40000,35300,59800,111400,122300,99100,71100,46800,34000
1950,25400,15300,8000,6200,6800,19600,83100,124700,108200,101300,107300,110100
1951,110100,99400,89500,79500,71500,91600,138200,152100,148300,146600,102600,91400
1952,84600,74700,66700,61200,33900,68100,122700,126700,108200,88200,86900,83500
1953,75900,66900,60800,56000,51000,58100,119100,147700,141300,128000,115900,109000
1954,100200,84900,76800,69300,62300,103900,126200,146700,115500,94000,85900,83800
1955,78000,66300,63100,62200,61100,71800,117500,124700,110000,93300,90400,86000
1956,79800,72600,62300,55300,51900,85900,148900,145300,124500,102400,92300,90200
1957,84900,76000,67800,63300,60200,77900,149700,150000,137100,127500,102600,95700
1958,86400,75100,66500,60600,56600,99900,134900,124000,97700,80500,73200,70700
1959,65700,56300,49000,45500,40000,38100,103700,109900,77700,57300,57200,56000
1960,50300,39500,37800,36700,32400,27000,71200,65400,50700,47900,53100,56000
1961,57100,57700,57900,58400,56600,80000,136700,114800,85100,89800,94500,97500
1962,95600,88700,85600,78000,84100,107500,151000,152100,139800,109400,104300,102900
1963,102200,95600,93100,91400,90800,105000,150700,151500,126100,116800,116800,117500
1964,114300,108600,102500,96400,88700,105100,147800,152300,125900,94800,87902,88422
1965,90385,88683,84927,76222,43776,43673,119814,150931,149500,133718,123381,118409
1966,115196,106528,98994,95611,84293,96788,115196,110098,77984,71781,73943,75559
1967,73821,69617,64189,59706,48404,71176,148770,148865,130842,106389,111508,109315
1968,100434,91344,84472,79459,71660,69019,137184,145181,151539,151665,,118387
1969,108036,99461,94763,88759,88785,130220,150856,146624,109097,64284,58553,60026
1970,59616,58215,57878,58598,58890,81019,144292,144694,112614,104652,102456,102648
1971,103553,103827,103279,103279,103827,105620,147561,151108,144385,145376,146718,142279
1972,128286,113324,105897,99733,89359,86505,150164,139604,131420,121081,119053,118042
1973,118186,118042,117410,115231,112050,132621,152371,149849,134431,144292,143920,142991
1974,141664,140219,138443,136704,114747,113609,149912,147654,116032,81272,82589,83171
1975,83299,83299,83350,83095,77887,78511,125327,150007,111063,69595,70002,69595
1976,69475,68758,67690,67099,67572,94097,131540,141449,103690,55756,56946,56578
1977,55313,53990,53552,53990,55756,58778,79462,69714,79036,71759,73921,75194
1978,77590,79362,79988,80013,78636,95296,146249,145469,133191,107282,107142,106174
1979,106035,106450,106450,106589,106589,120357,136857,107142,91190,73578,74802,75709
1980,76030,77268,77937,78636,81145,114605,145159,137101,101826,66271,66366,67099
1981,67926,68115,68495,69069,70217,89620,148560,126035,85218,46783,44371,46678
1982,48425,49809,50129,50256,50278,42936,93750,147092,141141,124885,107365,107589
1983,107589,107756,107365,107254,106672,105897,141203,140557,140219,103772,104156,105150
1984,106312,106589,106838,106838,101091,111260,143393,144075,118589,86350,90456,90717
1985,89960,89568,89203,88968,87048,94550,118157,120067,71759,31892,34589,36685
1986,39744,41292,42997,45220,51271,75047,143828,142248,122219,89673,92693,93803
1987,93564,93089,92799,92166,88733,126271,144911,139851,118157,92773,85449,85295
1988,85141,84988,84426,84502,85193,100657,119516,81146,45986,24954,24753,25190
1989,26011,26466,26778,27497,30550,47896,105399,147810,130641,106893,105537,105676
1990,105122,104019,102868,101661,104734,82361,113694,140403,117094,82791,85962,89855
