#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06136500: Fresno Res, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fresno Res (06136500) 
# Montana  RESERVOIR Site - 2575 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:59:48 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1940,,1400,700,16900,27600,34700,31500,25800,22400,10400,8800,9600
1941,11000,10800,10100,17800,20900,17700,29100,27000,20300,18100,17100,16400
1942,15500,14100,13100,24900,55900,75600,78800,89400,81100,74900,68600,66800
1943,62500,59900,62700,93000,119000,91400,118200,118800,95800,89700,83800,80900
1944,77600,74100,71400,71800,73000,62800,76600,65900,62300,50100,46600,44200
1945,42100,39700,41500,54400,49600,54600,70800,56500,42700,53800,58000,56700
1946,54100,51200,50400,61600,62300,56000,61800,56500,44000,59400,61600,58600
1947,54800,53800,55200,136700,131900,111200,93000,76600,69000,82557,80292,76473
1948,75098,73931,71645,77259,131730,128498,133506,112936,101186,94279,74705,74508
1949,72788,70132,67542,74312,67357,58230,51068,26377,11813,10220,11980,13162
1950,11395,8110,7313,17518,60783,63038,57558,38710,30091,33982,65904,71264
1951,70132,68467,65725,99725,132316,110028,113734,110285,100203,94740,89276,90164
1952,89276,83196,90164,144851,132902,116137,76473,51700,49962,69947,82769,79677
1953,78045,76670,76670,85758,97335,135016,132023,88610,72026,74705,75294,76080
1954,76866,75687,78857,85971,128214,134412,130851,99247,95431,91974,82982,81112
1955,79472,77063,74312,76080,131730,135016,116137,129093,105154,87944,76670,74901
1956,72788,69392,66443,93357,108486,128800,115064,99725,81932,81727,84477,81932
1957,80292,77849,74901,110028,124202,131437,129093,91282,65545,61650,57390,61130
1958,60263,57558,55730,63391,125338,95662,87278,61650,42798,29589,27469,27590
1959,29714,29212,28585,86612,124202,135016,124770,103914,74121,81932,86185,82769
1960,84477,82342,82137,133204,130851,134352,103666,58734,42798,40384,32535,31503
1961,29338,27348,26138,33982,53774,36388,31245,6962,1964,14422,19484,18640
1962,15742,13342,17110,37612,69207,67357,77260,61477,55893,46310,40942,38292
1963,35980,32922,43227,48891,67357,61650,63571,58230,46162,57726,50594,46754
1964,42941,39687,36252,36388,58230,98052,107715,60610,46606,74705,72598,69762
1965,67542,64289,62692,83623,134714,119712,138338,118337,96140,99247,96140,87722
1966,88610,84904,81317,119712,127921,104906,117512,102674,90386,96857,85758,81727
1967,83836,83836,84264,134714,125622,127628,108229,77456,61477,75688,75884,73740
1968,70132,66622,67727,91744,100442,98530,105916,76277,83410,107458,94048,92896
1969,90164,86612,81932,134714,131144,99247,99247,110808,87278,81112,78242,76670
1970,73360,69577,65546,74902,99486,123634,119162,84690,67357,72788,70692,68837
1971,65904,61650,80087,95662,123350,101930,69762,44386,16318,37204,47361,47453
1972,44386,40664,37150,119162,123350,125338,110028,86398,68282,74705,92666,91974
1973,86185,81522,77063,86834,89720,59406,64289,29589,23556,15454,14242,12481
1974,11000,11980,12648,24530,71264,117237,127159,101186,92204,104410,96618,93126
1975,89898,82982,80087,77456,123634,125054,132609,89276,91744,123350,116962,101632
1976,101434,106173,116027,129972,124770,98912,109514,82897,60783,66987,71454,70243
1977,68541,66084,67320,73093,71836,46606,39945,11529,18130,23208,23881,22155
1978,20226,18742,17600,140497,130265,117677,118337,105402,82982,85758,79472,78447
1979,77142,74122,69577,129386,130031,127335,105762,67172,58902,54915,49350,48891
1980,47269,44978,42083,56718,110285,77849,80497,36388,29037,36116,36932,37612
1981,36660,38627,43456,59742,79472,80540,94048,49962,41225,39966,35042,35844
1982,34380,32019,31374,53122,116137,127335,126474,105916,43370,16510,18742,17926
1983,15358,13162,12304,28942,54955,48673,37987,45872,32885,35668,33349,31493
1984,28478,26043,26043,41930,58824,17797,8332,13102,33580,19410,16057,15178
1985,13262,11410,9046,17765,41953,30913,34740,7013,28687,52311,41025,42154
1986,40368,43267,73101,99929,105459,106513,95097,74612,62660,68422,69715,65913
1987,63720,62917,64927,87291,105858,93186,84551,63174,65383,70403,68897,66908
1988,64274,61452,59295,71100,94649,60319,32333,12418,18644,16166,13502,11143
1989,8727,6986,4966,32595,64176,74684,70542,45259,32529,49678,72928,77969
1990,80333,84591,86672,91782,95994,105360,92220,63623,44678,42931,55152,56323
1991,54124,51051,54591,57061,81493,101454,107473,89809,71135,62627,64372,65946
1992,65122,64079,64600,84873,82558,35853,33280,46431,32421,29207,29548,30771
1993,28234,25131,23369,69410,87917,73212,84591,102853,96905,95680,82282,82952
1994,82400,77666,73283,103733,103782,101696,98141,64470,46861,47808,53222,53425
1995,51530,50233,51249,59233,55949,74575,103683,102853,72643,55507,62756,68422
1996,70437,74103,100307,103979,101937,103929,87791,59264,43893,55122,66842,66079
1997,65220,63817,68966,108951,99124,101311,96677,72360,56397,57012,54473,54561
1998,52932,49817,49817,55447,82597,60319,68760,76627,53309,44547,50122,50544
1999,48627,45418,44417,50544,58437,70577,88084,67884,46323,47211,45948,45259
2000,43448,40724,37899,45657,72786,51559,42465,20638,22162,39612,25875,23376
2001,20820,18233,15976,16319,10662,12972,12810,17124,23860,20516,14800,12005
2002,9621,7412,5623,3541,19946,28176,90070,49082,38726,44183,48190,50845
2003,51173,49652,48374,76144,87247,84995,67251,37264,20398,27598,25708,23056
2004,20955,17787,15124,29252,45862,45989,65871,53939,38341,42214,41691,40472
2005,38612,36886,37487,39686,54743,49357,89642,71099,45331,46091,47900,48559
2006,47015,49143,49197,68473,93064,79386,87525,48797,28118,41976,43324,43348
2007,41596,39824,40286,75281,93212,94098,91171,63165,46989,40194,38703,36687
2008,34063,31233,28917,30626,43617,60645,96959,74873,50029,57432,56067,56246
2009,54196,51255,48453,58934,85404,91654,80942,51696,38273,40961,41999,41525
2010,39250,37980,35504,49598,87758,103573,100373,89357,87200,76186,70520,67251
2011,66051,63822,69527,85633,98963,103951,93752,75938,44929,49116,61807,59734
2012,61041,60025,60909,74832,94743,97213,96147,68436,50029,48824,49679,50273
2013,49706,48032,47405,64451,92673,89974,96552,73421,63199,63337,61687,60631
2014,58062,55984,54029,75459,90151,78064,96884,79879,74597,71708,68638,67669
2015,66862,70493,82571,89240,94202,76816,69855,55067,56121,59658,59336,58133
2016,56396,54630,61980,63871,85778,95159,85341,72948,64208,57398,59550,59550
2017,56532,53014,64208,86167,87740,81123,61321,19923,24360,42807,44332,42563
2018,41067,38423,35975,45237,83423,88787,90765,57502,37717,40805,44769,44179
