#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 10UTGTVL: Grantsville Reservoir, UT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Grantsville Reservoir (10UTGTVL) 
# Utah  RESERVOIR Site - 5026 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:53:21 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1986,1400,1800,2800,3300,3300,3300,3100,2300,1400,1100,1500,1800
1987,2200,2700,3300,3300,3300,3000,1400,800,100,500,800,1200
1988,1400,1700,2100,2800,3200,2700,1400,300,500,700,900,1100
1989,1300,1600,1900,2800,3200,1300,2300,1000,300,400,600,900
1990,1100,1300,1500,1800,1900,1800,1300,500,400,400,600,800
1991,1000,1100,1300,1500,1900,3000,2700,1500,400,300,300,700
1992,1000,1100,1300,1600,1800,1600,700,300,100,115,200,400
1993,600,800,1000,1800,2300,3300,2900,2100,900,500,400,800
1994,800,1100,1400,1900,2900,3100,2000,1600,1000,900,1100,1300
1995,1500,1800,2200,3200,2700,3300,3300,2600,1800,1400,1500,1800
1996,2300,2700,3200,3300,3000,3300,2600,1800,1100,800,800,1000
1997,1400,1800,2300,3000,3300,3300,2900,2300,1500,1100,1000,1500
1998,2000,2500,2700,3300,3300,3300,3300,3300,2100,1800,1900,2300
1999,2800,2800,3300,3300,3300,3300,2900,2000,1400,1100,1200,1900
2000,2500,2500,3000,3300,2800,2600,2000,1200,800,500,,1000
2001,1300,1600,,2200,3200,3200,,,,600,600,600
2002,1700,1800,,2000,2800,,2000,,,700,700,700
2003,1100,1400,1600,1800,2200,,,,,,200,400
2004,600,900,1100,1700,2500,2900,,1700,1400,800,800,1200
2005,1500,1900,2200,2700,3300,3300,2700,,,,,
2006,1800,2200,2500,2900,3300,3300,3000,2300,1100,900,1200,1500
2007,2000,2400,2700,3200,2600,2700,2100,1400,900,600,800,1100
2008,1300,1600,1800,1600,2200,1800,2600,1800,900,600,700,900
2009,1200,1400,1700,2100,2900,3000,3400,2300,1300,800,600,1000
2010,1300,1500,1500,1500,2400,2400,3000,2300,1600,800,600,1000
2011,1200,1200,2100,2600,3300,3300,3300,3100,2100,2000,1500,2200
2012,2800,2300,3200,3300,2800,2400,1700,1100,500,300,300,700
2013,800,800,1200,1800,2200,2646,2330,1564,775,800,670,730
2014,800,1800,1850,1903,2120,2700,2260,1530,1012,756,900,715
2015,800,1138,1350,1565,1600,2640,2732,2000,1800,1086,990,1050
2016,1150,1632,1976,2384,2960,2600,2100,1190,385,300,536,550
2017,560,600,1310,2732,3304,3300,2700,1800,1100,,1000,1100
2018,1000,2222,2384,2560,2768,2770,1870,1200,891,756,960,1138
2019,1138,1454,1500,2000,3080,,,,,,,
