#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 09009060: Lake Granby, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lake Granby (09009060) 
# Colorado  RESERVOIR Site - 8300 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:35:17 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1952,,,,,,,,,,431600,421900,412400
1953,390600,371900,356500,350500,352100,381400,452100,439600,425800,406032,390533,371789
1954,353153,339658,322633,298696,287155,301922,298940,275675,243648,222697,203895,179931
1955,155863,130025,105529,82020,77000,109698,167181,170354,158237,142504,124259,109271
1956,94251,79075,56654,31129,24914,119440,199975,196549,192423,175511,155581,134202
1957,114214,90069,63840,37772,25459,75966,244772,374713,395300,392713,376314,359077
1958,343873,320828,309318,286263,281097,378929,458765,454669,432801,406376,375176,344387
1959,316414,287336,267957,246006,231675,262337,361098,364385,348622,334139,320202,303318
1960,278385,250538,231233,216431,236323,288470,396600,409704,387074,361949,336861,314802
1961,291586,268830,247533,224161,214015,259397,354967,363202,360250,383225,403891,399755
1962,386666,370331,354120,334454,330031,373981,463110,465137,453805,430616,421485,395916
1963,363794,336731,311960,285017,270290,304114,337881,317716,315176,310850,287693,262568
1964,232230,208376,175559,146479,128022,171082,223512,229412,206212,184399,162691,140438
1965,115933,93363,71836,45350,46157,90030,233992,302166,310790,309318,302837,290925
1966,272448,249973,232338,216111,219555,251784,273796,257558,239612,219449,195155,169229
1967,140528,115975,90108,59359,55311,89390,189263,228540,209383,203160,191658,181927
1968,162691,137788,118006,98080,91546,112969,237106,242918,237660,226078,211297,201750
1969,185457,166120,146805,134382,141725,226570,332054,363466,347851,338708,329464,319521
1970,302469,285133,263549,239944,225475,296345,419813,440801,430968,424640,415895,403472
1971,390327,380132,367349,350758,351080,365967,458843,461591,448785,444138,428994,414434
1972,393185,365440,340678,316100,318524,368800,454739,447069,431953,430120,417363,402162
1973,377256,355291,332998,318646,306558,355616,464699,461082,457470,454521,449644,442008
1974,425415,402784,388155,371193,368334,415827,460573,459055,440801,418066,393391,378929
1975,355616,330093,308336,287693,278385,298454,392912,451860,437603,421069,399072,377118
1976,347851,318956,298999,278678,275140,310114,360512,357573,345734,324821,298454,268830
