#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06049500: Middle Creek Res, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Middle Creek Res (06049500) 
# Montana  RESERVOIR Site - 6700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:55:42 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1951,,,,,1790,5300,4880,4020,2560,2560,2520,2270
1952,2120,2600,2600,2570,3290,4470,5270,4760,3730,2940,2820,3190
1953,3750,4100,4710,4980,5480,5680,5440,4470,1480,1150,1240,1640
1954,2320,2640,3300,4250,4760,6440,6520,5200,2470,2420,2410,2600
1955,3430,4230,4710,5190,5640,5940,6540,5530,2100,1730,1690,1820
1956,2560,3030,3350,3670,4510,5760,6180,3420,1320,1150,1170,1870
1957,2450,2840,3110,3430,3700,5840,7660,6700,3620,3480,3420,3440
1958,3470,3490,3680,3960,4520,7660,7660,6700,4470,3790,3370,3670
1959,3930,4160,4200,4310,4890,6880,7660,6880,3600,3420,3540,3540
1960,3770,3960,4220,4430,5350,6880,7860,5000,2400,1920,1970,2350
1961,2870,3190,3490,3830,4520,7470,7200,3490,1640,1370,1530,1730
1962,1980,2300,2510,2720,4400,7270,7920,7920,5300,4540,4060,4130
1963,4140,4320,4730,5140,5280,8030,7970,5910,3000,2360,2470,2670
1964,2770,2890,3010,3290,5050,7170,7970,6890,3360,2890,3000,3110
1965,3460,3760,3930,3990,4130,5130,7790,7470,4610,1160,390,820
