#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 13106500: Salmon Falls Reservoir, ID
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Salmon Falls Reservoir (13106500) 
# Idaho  RESERVOIR Site - 5025 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:55:05 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1921,,,,,,,,,,,72000,72200
1922,72400,72600,72800,76800,88000,123700,96600,48600,34100,32400,33200,33900
1923,36100,38400,39800,42800,57900,74000,59800,24900,9800,9600,12600,14700
1924,17300,19300,25100,28500,46600,47400,28300,11300,5200,3700,4800,6100
1925,8200,11600,15500,22400,48800,62000,41500,18900,6300,6700,7900,10800
1926,12500,14900,17600,25600,33000,26100,14900,5500,5100,3900,5100,6300
1927,8400,10800,14600,17600,26900,53000,42400,14100,5600,4400,6300,8400
1928,10800,14100,17300,27800,38400,46200,36500,10800,1900,1300,2500,3900
1929,5900,7900,10000,15500,29800,41500,34700,10500,2100,2500,3900,4700
1930,7400,9200,12400,15000,19400,30700,26100,5200,4400,5100,6000,7400
1931,8900,10500,12900,15600,23200,24100,16100,4300,2800,1900,3200,3900
1932,5500,7100,9500,13800,29700,60400,55000,17600,4000,4700,3900,5300
1933,7000,9400,11300,14800,21800,37100,20900,6000,2300,800,2000,2900
1934,5000,7400,9800,12100,15200,11800,4800,2000,900,100,1100,3000
1935,5100,7100,9700,13700,25200,36900,36100,15500,5200,3700,4500,5500
1936,7300,10000,12400,16000,36300,41000,37500,15000,6000,5700,6100,7100
1937,9200,10500,12400,16900,24900,33500,29600,10000,4000,2900,2600,4800
1938,7300,10000,12200,17100,36100,59800,45200,26100,10900,6700,8400,9800
1939,13200,15400,17600,39300,59200,51200,31300,17100,5300,3900,4500,5100
1940,7100,9800,12300,17700,28200,30300,16700,3400,500,400,900,2600
1941,3600,5800,8400,12300,19700,22700,23000,11100,4100,4300,4500,6900
1942,9600,12400,15000,22200,67100,89000,88800,57200,31500,25600,25200,25800
1943,29200,37600,55800,71900,115000,114200,119200,86800,54800,48200,47000,47000
1944,48600,49600,51000,54800,73800,101000,113900,77900,46000,38200,38200,39100
1945,40400,42800,48800,56000,69200,96100,98200,66000,36100,30000,30500,31900
1946,34500,36900,39100,45800,72400,73100,60000,35200,16100,14600,16700,18300
1947,22400,23700,28600,36300,45800,43000,41900,19600,6100,5300,4900,6700
1948,9300,12100,15600,21500,35000,45800,45000,24200,9500,8700,9600,11100
1949,13500,14600,15900,22900,50000,65400,53800,29700,11800,8000,10000,11500
1950,13200,16700,19900,27600,48000,64300,60000,34100,12200,9500,10600,12500
1951,16100,19100,31700,41500,71500,90500,74500,39100,18300,15200,16200,17600
1952,19700,22900,25600,30700,63000,99000,95300,65400,41000,36900,36100,36700
1953,37400,38700,39800,45200,56400,58300,62800,35800,13700,10800,10600,11600
1954,13800,16400,19300,24400,31700,25600,21500,11500,3700,3700,3600,4900
1955,6300,8200,10300,13100,17600,29300,24000,13100,4800,4400,4700,6600
1956,10300,16600,20000,31200,53600,61400,48500,24000,7300,6600,7700,9800
1957,13300,15100,23200,31500,45900,81800,75800,47900,21600,17500,18200,20100
1958,22300,24500,30100,36300,55100,67500,59300,33400,14600,14600,14600,16600
1959,19000,21900,24600,29300,36800,40800,30800,14200,6400,7100,9000,10300
1960,12000,14000,17000,25200,44500,47200,36900,16400,6500,6400,7100,9100
1961,10900,12600,15700,20100,26500,23700,14400,6600,4200,4300,5000,7100
1962,9200,14000,30300,43300,74800,85600,87400,57600,33600,29600,29300,30700
1963,32000,32800,37300,40400,45000,57300,68200,41700,23300,23500,23600,25800
1964,27400,29300,31400,34500,49700,64700,78700,51300,25700,20900,21600,23700
1965,30200,36600,48100,54900,76400,90100,90500,64300,46900,41300,40600,42400
1966,44200,45900,48000,51700,62600,52300,37500,16700,7900,5900,6600,8800
1967,10900,13400,15700,20600,27400,38400,46700,25300,11300,8700,9500,11500
1968,13200,16000,20900,26900,31700,27200,24000,11600,7300,7900,8800,11300
1969,13400,17100,20300,28300,66000,69000,63600,43500,21000,17900,20200,21800
1970,23900,29800,34600,40900,51600,74700,75600,52500,29000,27700,28600,31400
1971,34300,45600,54800,66100,93900,131000,142000,112000,84700,77100,76900,78500
1972,79500,85000,89100,121000,148000,157000,153000,119000,93200,89600,90800,91800
1973,93000,96800,99800,109000,134000,145000,128000,97400,72600,67700,68200,69100
1974,71700,74100,76100,92500,120100,126000,109000,80400,58700,55000,55800,57100
1975,58500,60400,62900,68300,78400,137000,165000,144000,117000,107000,106800,107700
1976,109000,110000,111800,118000,144800,158500,138200,105100,85900,79200,79400,80100
1977,80400,81000,82000,83200,85400,79300,67800,43200,23400,24000,25500,27400
1978,30100,32900,35900,47700,69500,79300,68600,43500,21500,23100,24800,26900
1979,29000,31500,35900,45500,64700,85200,72000,44700,24700,24700,26300,28300
1980,30400,39700,48100,54200,75300,100000,110200,81300,56300,52400,53000,54300
1981,56100,57800,60000,62500,68000,63200,46700,23000,7300,7400,9300,11500
1982,14200,17000,23700,33800,55400,80200,79800,58500,34900,30800,33600,36500
1983,39200,42600,47100,62100,81100,111200,113500,86500,72500,65100,66800,69000
1984,72900,77100,82000,92600,134700,170900,180300,165700,144800,130900,131500,132900
1985,133400,134100,135200,139500,158900,165000,142200,111700,88800,87000,87500,89000
1986,90300,92800,108000,134000,156000,154000,141000,113000,90800,89500,90400,91300
1987,91900,92900,95100,99900,102000,88400,69700,47900,27700,27800,29400,31500
1988,33600,35800,38800,46000,60100,61900,50800,26900,10800,11100,12800,15300
1989,17800,20100,23700,40000,69500,73500,54900,34200,14600,14900,17000,19300
1990,21700,25000,27800,36900,46400,47300,38100,17800,6400,6600,8100,10200
1991,11900,14100,18000,22700,29200,39100,32100,15300,5700,6100,7300,10200
1992,12400,14600,17600,22200,25800,17600,9000,7600,6400,6200,7400,9500
1993,11600,13900,16400,34200,57300,86800,88800,66000,43900,38400,39700,40600
1994,42000,43800,46200,50300,55600,55800,37400,16900,7400,6900,8600,10500
1995,13000,16600,25100,38500,49300,74400,92100,72100,50200,43300,44200,46100
1996,49000,52300,58600,75800,100600,112200,98600,70800,50400,46200,43000,45000
1997,48000,55500,59500,75100,99900,121800,121600,96700,76800,71100,69300,70900
1998,71700,74000,76200,83700,96500,127600,134800,107500,80200,74600,73800,75500
1999,76600,78700,80700,88400,100800,119100,113900,83400,58600,50100,50800,52000
2000,53500,55500,58500,63000,74800,68900,50600,28000,9200,9200,11100,13200
2001,15400,17600,20000,25600,34500,28400,14200,5900,4800,4500,5700,7600
2002,9800,12400,14600,18600,37400,42700,34200,15800,4900,5000,6600,8700
2003,11100,13800,16100,19300,24600,28000,16300,7800,6800,6700,7900,9800
2004,11600,13800,16600,26200,41100,43200,33900,18200,7300,7600,9500,11900
2005,14800,17600,20600,28500,40200,75000,77700,56500,39600,39100,31400,33200
2006,36900,42200,46300,57400,96400,132500,129000,104400,79800,69500,69700,71100
2007,72800,73800,77800,84900,96600,89100,70300,47300,26400,21300,23500,25200
2008,27000,28900,31700,36000,45000,54500,51200,32000,14600,11400,12700,15000
2009,17200,20500,23900,31000,49000,72600,85500,69200,50300,37300,38700,40400
2010,42100,43900,46400,49800,60000,75600,80500,59400,38600,28600,29700,32500
2011,36600,44200,49200,60100,92100,133700,149200,128000,106300,85500,84330,84450
2012,84570,85650,89000,99340,102330,90880,74450,52500,30400,23630,24475,26600
2013,28640,29915,32625,37805,49500,48300,35770,18075,6550,6913,8880,10910
2014,11563,14625,20060,27195,35858,35400,19740,7500,8735,9243,10330,12578
2015,15300,20220,28215,34100,33703,36140,24645,17900,13800,10000,11200,13433
2016,16200,18620,26300,42700,70500,91700,78900,59500,38100,32500,34700,36800
2017,39300,43300,81400,111200,146200,163300,157100,129900,104500,92810,92050,92680
2018,93090,94060,93520,98770,105500,100400,86400,62000,40620,31870,33070,34830
2019,35960,39080,41320,46760,82170,113398,131400,111000,88380,77670,77720,78060
2020,79670,81760,83300,90650,103400,107800,97880,76910,53160,40100,40970,42280
2021,43640,45740,47320,50100,54000,45820,,,,,,
