#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR MTNRESCO: Mountain Home Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mountain Home Reservoir (MTNRESCO) 
# Colorado  RESERVOIR Site - 8198 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:54:42 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1951,419,580,856,886,1252,1602,855,,,,,
1952,653,953,1161,1421,1898,5431,7408,2806,1898,1556,1294,
1953,1898,2116,2237,2505,2785,3705,3508,1898,1136,798,653,
1954,1666,1698,,,,,,,,,,
1955,1252,1510,1510,2367,2505,4771,9760,7490,6619,5175,5175,
1956,6192,6510,6851,7325,7490,7005,4569,1335,300,300,600,
1957,1096,1841,1968,2280,2929,4692,12701,13426,9460,7655,7085,
1958,8435,8706,9204,9460,9173,12232,10676,5112,3010,2334,2116,
1959,2888,3384,3705,3961,4121,5301,5144,2480,2003,2003,2450,
1960,,,,,,,,,,,2542,2505
1961,2901,3320,3508,4014,4927,7245,5490,5109,4569,5175,5629,6038
1962,6379,6847,7165,7572,9656,10464,8798,5696,3097,2578,2367,2505
1963,2970,3055,3320,3562,3806,2729,2602,1411,653,706,763,953
1964,1090,1170,1500,1796,2116,2578,2213,1510,886,1212,1131,1318
1965,1449,1888,2167,2450,2838,3389,4327,3786,1987,1834,,
1966,600,932,1276,1684,1674,1597,1449,1210,851,844,918,1069
1967,1318,,,1920,1987,1743,1440,1284,1361,1588,1616,1866
1968,2080,2324,2569,2920,3093,3564,4350,3148,3275,2524,2154,2394
1969,2584,2772,2932,3239,3332,3313,4215,3389,2244,2271,2739,3351
1970,3704,3911,4104,4327,4772,7056,7185,5481,2887,,2870,3093
1971,3148,3239,3370,3313,3332,3184,2231,1743,709,,125,733
1972,1115,1251,1477,1866,2067,1607,1218,1138,1039,1062,1115,1259
1973,,,1674,1834,2554,7480,12543,8706,3505,2599,2821,
1974,,,,,,,,,,,,
1975,,,,2338,2524,2920,,3058,,,1888,1941
1976,2179,2524,2677,,3332,3275,2524,,1185,1226,1449,1635
1977,1704,1975,2155,2340,2525,2000,1600,1145,600,166,565,892
1978,,1370,1610,1822,1975,3006,3911,2366,,924,1201,1664
1979,,,,2394,3313,6319,12120,10357,6173,,5507,
1980,,5696,5917,6202,6588,8342,11482,,,3033,,
1981,,,,4193,4030,3376,2972,2416,1987,1974,2092,2356
1982,2545,2845,3051,3211,3446,4534,5641,4233,4139,5804,7032,7587
1983,7989,7989,8271,9055,9273,10399,11890,10300,7470,6194,5804,5973
1984,5973,6281,6577,6887,7347,10312,10273,6347,3446,2831,3248,3662
1985,4046,4068,4642,4873,5973,11385,11377,8302,4808,2989,3786,4105
1986,4484,4730,4905,5220,6086,8561,11981,10786,6246,5668,6134,
1987,,,,,,,,,,,2380,2742
1988,2949,3265,3554,3838,4400,4808,5158,3248,1929,2232,,
1989,,3257,3564,4050,4759,5170,4444,1426,1114,1082,1261,1431
1990,1588,1756,1845,2164,2510,2914,2495,1485,781,917,1276,1379
1991,1820,2137,2352,2578,3495,6530,8402,6599,4622,3220,2755,3169
1992,3473,3732,3965,4327,5145,6580,7852,6071,4772,3460,2450,3194
1993,3475,3678,3884,4260,4896,8773,11190,8351,5628,5156,4534,5177
1994,5406,5533,5554,5880,6443,9196,10399,6286,4796,3745,3166,3502
1995,3834,4049,4292,4635,5231,6825,12523,10910,7710,6740,6115,6258
