#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06155000: Nelson Res, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Nelson Res (06155000) 
# Montana  RESERVOIR Site - 2223 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:55:44 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1936,,37020,36310,34900,41760,35960,25550,10370,11650,9320,8100,7300
1937,7300,6510,5930,4600,17770,10370,16600,11220,12080,17530,22180,22180
1938,19450,18010,16830,22430,29410,41760,38820,44020,46320,45540,43640,42500
1939,41390,36660,35250,38100,36660,43640,51040,48260,43640,39550,36660,34560
1940,32500,30860,29410,30280,39180,50640,51040,39910,35960,30860,31490,29700
1941,2400,1020,80,480,28560,21420,28280,22180,21170,10450,17300,16780
1942,15900,14980,14520,16130,24230,1570,37380,36660,42510,47870,51040,49050
1943,46320,44640,43040,44020,42130,47090,50240,47480,44400,50240,50640,48660
1944,45740,43830,42320,41760,40650,38820,45160,42880,46320,44400,42510,42510
1945,40650,39000,37740,36490,37020,34730,38090,31490,30130,32160,31490,32330
1946,31010,29990,29410,28560,26640,24100,26620,25810,24490,28140,31997,30497
1947,29352,27955,27955,27543,35240,39327,45480,43958,45288,41897,40606,38965
1948,36997,35414,33690,32670,34374,35066,43799,45671,45288,40790,40790,39005
1949,37174,35764,34374,34030,31673,25790,20694,13470,6825,6825,7710,7020
1950,6438,5863,5295,6246,13912,15946,14135,12809,16407,19477,19962,19236
