#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 11340000: Cottonwood, OR
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cottonwood (11340000) 
# Oregon  RESERVOIR Site - 4949 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:32:51 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1932,30,230,290,3020,3020,4380,2460,920,0,,0,0
1933,0,0,0,180,920,1680,750,170,0,0,0,0
1934,0,180,610,1680,1870,1080,640,0,0,0,0,0
1935,0,0,290,1190,3570,3980,2250,1260,0,0,0,0
1936,0,0,0,520,3680,4010,3240,1570,390,0,,
1937,,,,440,2790,2620,1490,460,0,0,0,0
1938,0,520,1050,650,2080,5860,2160,1030,610,0,0,0
1939,0,0,130,2300,3290,2300,1340,520,0,0,0,0
1940,0,0,2520,3400,3510,3080,1970,680,0,0,0,0
1941,0,0,10,1510,2520,3210,2620,1320,830,800,,
1942,,,,,,,,,,,,
1943,0,0,0,0,,,,,,,,
1944,,0,160,400,1030,1060,2070,1000,170,0,,
1945,0,400,1400,1930,3680,,,,,,,
1946,0,0,200,0,4010,,,,,,0,0
1947,0,0,820,2410,3900,2920,3600,1600,1080,0,0,0
1948,0,0,280,1050,3330,4040,,,,0,0,0
1949,0,0,0,0,3510,3670,1950,680,0,0,0,0
1950,0,420,800,3020,4280,3920,3680,1020,300,0,0,0
1951,0,0,1200,3010,4600,4340,1750,520,0,0,0,0
1952,0,0,0,0,3680,4540,3970,2350,230,0,0,0
1953,0,440,690,2110,4670,4510,4350,1430,0,0,0,0
1954,270,290,0,1210,4340,3740,2700,290,0,0,0,0
1955,750,420,740,1190,2740,4190,2820,2350,290,0,0,0
1956,2300,2700,220,1780,3570,4480,3500,2000,610,230,0,0
1957,0,90,3320,3850,4500,4540,2650,900,0,0,0,0
1958,0,0,4040,2100,3200,4220,2600,400,0,0,0,0
1959,0,280,690,1750,2720,3170,1450,500,10,10,10,10
1960,20,150,600,2400,3650,3750,1990,400,0,0,0,0
1961,500,540,1240,1970,3470,3600,2100,500,0,0,0,0
1962,0,100,200,900,4350,4300,2400,560,0,0,0,600
1963,1000,1730,5050,7180,8900,8900,7400,4690,1700,250,270,690
1964,880,1020,1150,1430,4000,3920,4500,2200,350,200,0,350
1965,7060,5600,7100,7980,8450,7940,7140,4510,1070,830,810,830
1966,890,910,930,2200,4150,3100,2250,900,100,60,40,300
1967,700,1200,1700,3100,3730,8900,7000,3760,830,620,650,700
1968,800,850,2400,3300,3550,3320,2500,1700,1300,700,750,920
1969,1000,1100,1300,3400,8260,8000,8170,5750,3100,1800,1850,2100
