#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 08008140: Sanchez Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sanchez Reservoir (08008140) 
# Colorado  RESERVOIR Site - 8260 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:59:18 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1952,,,,,,,,,,2200,3200,3700
1953,4400,4800,5400,6100,6700,11100,11100,7000,2600,1400,2100,1400
1954,2100,2900,3600,4300,6300,9800,5500,2100,100,200,1200,2300
1955,3100,3500,3800,4300,5900,10400,13300,9200,12600,12500,12800,13100
1956,13400,13500,13500,13500,13000,11000,7300,4800,3000,2200,2400,2900
1957,4100,4600,5200,5700,7400,11400,28000,32800,33500,35000,35000,35800
1958,35000,35000,32100,32100,33500,42500,48900,34900,29700,26500,25600,25400
1959,25400,25400,25400,24900,24600,26300,19700,8000,9400,8600,8800,10200
1960,11300,11400,11500,12500,16600,16400,10100,6000,3200,3600,4300,5400
1961,7500,8100,6500,7000,8400,11100,9200,5100,6300,9000,10500,11400
1962,11600,11900,12200,12500,16200,15200,10300,6100,2900,2800,3762,4140
1963,4798,5158,5726,7271,7667,5929,4096,2557,2484,3201,3568,4100
1964,4600,4800,5136,5765,6500,6886,4445,2600,2000,2231,2400,3100
1965,3700,4400,4700,5300,7000,8300,13300,12800,12100,13400,14200,14400
1966,14900,14900,14900,15200,15600,13700,10800,7700,8400,7600,7500,8100
