#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06131500: Fort Peck Lake, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fort Peck Lake (06131500) 
# Montana  RESERVOIR Site - 2095 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:36:29 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1940,,,,,,,,,,,840000,900000
1941,1090000,1250000,1420000,1630000,1380000,1480000,2000000,1690000,1220000,1340000,1690000,1970000
1942,2260000,2470000,2710000,3160000,3800000,4830000,6830000,7150000,6660000,6140000,5740000,5730000
1943,5960000,6240000,6820000,7560000,8620000,9650000,12540000,13410000,12880000,12020000,11230000,10750000
1944,10250000,10040000,10120000,10740000,11120000,11590000,13340000,13950000,13280000,12800000,12220000,11750000
1945,11340000,11060000,11340000,11780000,12060000,12560000,13760000,14170000,13780000,12970000,12390000,12380000
1946,12530000,12800000,13140000,13510000,13890000,14420000,15110000,15380000,14470000,13900000,13610000,13780000
1947,13970000,14150000,14470000,15600000,15850000,16570000,17530000,17360000,16320000,15150000,14100000,13830000
1948,13700000,13750000,13820000,14060000,14410000,15350000,18000000,17820000,16720000,15440000,14100000,13720000
1949,13480000,13320000,13200000,13760000,13950000,14570000,15290000,14810000,13620000,12590000,11940000,11950000
1950,11890000,11900000,12110000,12560000,13160000,13520000,15180000,15710000,15080000,14350000,13530000,13190000
1951,13120000,13060000,13050000,13580000,14020000,14910000,16070000,16420000,15540000,14610000,13460000,12740000
