#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06016210: Marston Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Marston Reservoir (06016210) 
# Colorado  RESERVOIR Site - 5540 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:54:39 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1952,,,,,,,,,,6600,4700,7600
1953,7700,8300,7700,6500,7500,8100,8500,8700,7100,4800,7100,8200
1954,7900,8800,8600,7600,5000,7300,6200,6600,6900,7500,9500,8400
1955,7700,6800,6200,6400,6000,7600,9200,7100,9600,9700,8900,9500
1956,8400,7400,6600,5400,8400,7800,7000,7200,8600,8800,8800,8300
1957,8700,8700,8700,7100,9700,9500,9200,10000,8700,9100,8700,7200
1958,7500,7100,7800,9200,9800,10300,8700,10300,9000,9700,9000,8700
1959,8500,8300,8000,8500,10100,9200,9300,9300,8900,9300,9700,9700
1960,9400,8800,8600,9500,9000,10100,9400,9600,7800,2300,0,0
1961,0,0,0,5400,9600,10200,9100,10100,8000,10300,10100,10000
1962,8700,10000,8500,9000,9500,9600,9000,8400,7400,9700,9000,9100
1963,8500,8500,8300,7300,9200,8900,8200,5100,9000,9500,9900,9300
1964,7700,5400,3100,6000,8100,9700,9100,9400,9100,9500,5600,8000
1965,7900,8300,8600,8500,9000,9300,9700,9700,9200,9800,8500,9100
1966,9600,8800,8200,9600,8500,9300,9300,9200,8600,8700,9100,9200
