#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 10334500: Rye Patch Re nr Rye Patch, NV, NV
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rye Patch Re Nr Rye Patch, Nv (10334500) 
# Nevada  RESERVOIR Site - 4069 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:33:10 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1957,,,,,,,,,,,55200,58300
1958,63600,70100,81100,100300,110400,120000,149000,141300,130100,109500,108300,108700
1959,111700,115600,120000,122800,98700,81300,62900,35700,25600,19000,19100,19800
1960,20500,21800,25900,28000,18300,10500,11600,3900,4100,4000,4600,5800
1961,6900,8000,9300,13400,10100,0,3200,1100,2300,2600,3100,3900
1962,4700,5700,14800,46800,61100,61400,90400,97100,87700,78400,72400,72400
1963,74200,74900,80600,84300,75600,58900,73500,87300,80900,71400,66100,67800
1964,71100,75600,79500,85000,97100,99100,125100,127800,112600,99200,91900,93500
1965,99100,116100,140100,159100,160100,163200,171600,184600,182400,174800,172700,178000
1966,181300,171600,180200,179100,162200,156000,135300,109100,87300,80600,66800,66800
1967,68700,70100,73500,81300,94200,62300,68700,79800,66800,56900,45500,47800
1968,50300,52900,61100,72100,59800,41000,34100,25100,21900,17700,11100,14600
1969,18900,27500,43300,59200,120500,163200,186700,173700,169500,167400,161100,156000
1970,155000,160100,172700,181300,171600,164200,169500,175900,167400,160100,150000,153000
1971,161100,168400,185600,190000,190000,186700,178000,184600,173700,136500,129200,131200
1972,138700,150700,161300,168000,169400,150700,154600,145500,132200,126200,116700,116700
1973,116700,122300,133200,162600,169400,164000,166700,155900,129200,117600,102900,102900
1974,108700,114800,124200,152000,165300,146800,128200,129200,117600,105300,94300,95100
1975,95800,98100,106200,128200,129200,137600,164000,171900,161300,143100,130200,131200
1976,142000,154600,164000,170800,162600,134300,132200,123200,119500,106200,99700,98900
1977,102100,105300,108700,111300,104500,87000,81400,66200,57800,50400,40100,40600
1978,42200,46300,50400,59400,73500,74100,72900,72200,60000,55420,44500,43100
1979,45800,50400,64400,94300,115800,116700,130200,129200,113900,99700,89800,88400
1980,91300,106200,128200,161300,162600,171900,183600,193100,177700,168000,151000,151000
1981,155000,161000,167000,168000,147000,133000,114000,101000,82000,68500,57800,56300
1982,57300,57800,65000,101000,115000,128000,152000,178000,156000,143000,141000,152000
1983,171000,177000,177000,168000,167000,173000,186000,193000,191000,181000,179000,184000
1984,157000,117000,108000,79400,148000,173000,188000,190000,174000,170800,178100,183600
1985,160000,127200,130200,186000,171900,176600,171900,150700,126200,114800,107000,109600
1986,117600,130200,140900,177700,182400,183600,187200,183600,149400,136500,127200,127200
1987,133200,138700,148100,162600,137600,134300,125200,107000,82700,68500,58300,58300
1988,58800,60500,62700,82000,79400,62700,57300,44900,20700,12100,8300,8200
1989,10000,12200,14500,40600,55800,65600,60000,48500,30600,20000,11600,9200
1990,11900,14500,16000,33600,38100,16700,13100,11900,7500,4800,1800,1500
1991,2000,2600,7400,10000,17000,11100,5400,14000,10500,2800,3100,3400
1992,3800,4200,8500,17000,20900,2500,300,100,300,600,1100,1500
1993,1900,2400,3300,10500,24800,30900,58900,54700,37200,22000,15300,13200
1994,16300,21200,25500,32900,27600,22600,14000,9500,1100,1600,1900,5100
1995,6100,11200,15700,37700,44900,39300,74700,101300,69700,38100,12200,12000
1996,12600,18200,32000,75300,115700,139800,169300,170700,143100,172200,116600,120400
1997,129200,158500,155900,153300,176500,171900,194300,195500,171900,154600,150700,150700
1998,144200,145500,138700,138700,153300,188300,193100,189500,170700,149400,133200,129200
1999,131200,154600,150700,154600,148100,138700,158500,154600,136500,119400,111300,112000
2000,115700,126200,140900,157200,137600,128200,113900,94300,72200,61600,53200,54700
2001,57700,61600,65700,70900,63200,47100,34000,24400,14700,13100,13100,13700
2002,14400,17000,19900,27900,26500,21700,26100,19700,11400,10000,10300,11600
2003,12400,14900,19200,25100,28200,19900,16100,15000,10600,10400,10400,10800
2004,12500,14400,16400,27900,31300,24400,18200,15600,11000,8300,10000,12600
2005,15800,20200,30100,51300,65500,119400,181200,185900,170700,148100,136500,139800
2006,152000,170500,196300,166600,204000,180000,183500,178900,152000,135400,126200,132200
2007,137600,144200,153300,162600,152000,144200,123200,102900,79200,66100,57200,57200
2008,57200,57200,60500,64900,50300,47100,40100,27500,11500,7974,7100,7600
2009,8500,9400,14400,23500,32400,25800,32900,33600,16500,11100,11100,11800
2010,11800,13100,15800,22000,31300,28600,30900,36400,17200,14600,12000,12000
2011,15700,26150,39290,55750,67340,74110,102900,145500,142100,140900,126200,123200
2012,125300,128200,136500,145500,131200,111320,86250,66160,46700,35210,19240,17000
2013,17800,18200,19000,22000,23500,14186,10100,6837,6837,6837,7354,7354
2014,7354,8138,8548,9164,9520,9520,9520,9164,8897,8630,8630,8808
2015,9164,9431,9700,9712,9616,9700,10098,10584,10192,9712,9712,10192
2016,10384,10582,10896,29040,39700,47600,57790,51790,36420,22600,12650,13275
2017,14758,24400,52730,115760,155700,150700,187160,191320,175410,165330,155500,153300
2018,157300,166685,173000,184350,182400,176575,161265,131200,105300,92300,82700,79350
2019,80000,82030,85400,100500,,,,,,,,
