#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 12487500: Bumping Lake, WA
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bumping Lake (12487500) 
# Washington  RESERVOIR Site - 3426 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:32:24 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1960,10220,5730,7440,14370,18900,30980,35430,16470,9810,4930,4810,12650
1961,8190,11940,13180,16720,21520,26100,34160,14740,7160,4760,5440,6390
1962,9340,7520,11920,14110,31800,34430,35950,23950,5600,4530,2870,11200
1963,12800,10680,24070,32750,34300,35900,29270,21250,9660,4240,2920,4140
1964,4060,7470,3670,3280,4580,19980,33500,35130,17120,5700,4330,7620
1965,10290,11330,7680,6270,17750,24890,35100,33940,16160,6020,4480,3270
1966,3280,3220,3110,4330,8220,19600,24280,28890,13670,4250,2800,3960
1967,5840,5600,4780,3840,4620,27320,35490,29520,18420,7670,7410,3830
1968,5660,16540,28200,16600,15790,23570,34060,25910,16730,9720,3860,14060
1969,4730,4550,2770,3440,7740,29510,34940,29970,18280,8550,4190,6320
1970,4680,9080,7210,7210,7630,29950,34240,25060,17700,11860,2900,4960
1971,3030,5260,5440,3170,3840,17650,28470,35160,32220,24560,9080,5880
1972,4190,5100,9590,9040,6450,31840,32220,30890,26760,14480,6380,3570
1973,7580,6730,9110,11710,16840,27830,22910,12820,5180,2600,2900,5260
1974,6180,10600,4640,5810,8440,16950,37000,34940,25190,8590,2640,3040
1975,4690,5360,3010,2830,3170,17850,35050,33900,25730,7710,5410,9750
1976,13910,11340,8410,5340,8150,25710,36650,34350,26890,9890,5700,4750
1977,4600,4400,9330,13640,26820,35100,34310,31350,18310,10360,5376,16758
1978,32652,24339,18202,25052,32652,34731,35113,32048,25041,18724,7472,4365
1979,3890,3783,8409,11437,14078,35113,34722,28669,5115,3447,4300,3223
