#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06012000: Lima Reservoir, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lima Reservoir (06012000) 
# Montana  RESERVOIR Site - 6583 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:59:59 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1940,,,,,56990,53920,37830,21180,7630,6500,9250,10660
1941,10660,11190,11400,14790,31620,34760,32660,20660,15190,15610,19360,22750
1942,24510,25510,25740,26430,58540,74880,76680,62910,45920,38140,37050,39570
1943,41010,41010,41370,42120,78780,79380,80340,69260,53920,50350,40650,45120
1944,47120,47320,47720,48120,72560,82940,81640,66650,53500,41190,35040,37980
1945,39210,39210,39210,39390,45920,72290,79380,66900,51610,42720,44120,46320
1946,46320,47320,47920,48520,78780,82620,72840,56550,39930,36280,37210,36590
1947,35350,34200,33360,37520,64900,81320,79380,64900,48520,35040,30750,33640
1948,35970,37210,36900,39570,62910,81320,75780,61990,46920,37520,38490,41010
1949,40290,40290,40650,41730,62450,76680,66900,53080,33640,26430,29030,32800
1950,31000,33920,33360,33640,69540,79380,70920,58090,45720,36280,40650,46120
1951,47120,47920,48320,48320,72020,72780,59230,39390,34480,30000,30880,33780
1952,35040,35040,35040,35040,62450,80340,68990,52240,37050,25280,24730,28310
1953,28910,29630,30880,32120,48320,67650,62910,45920,31750,18960,17500,20560
1954,20970,19660,18580,17860,32520,32380,20260,3800,2620,3870,7300,12030
