#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 12393000: Priest Lake, ID
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Priest Lake (12393000) 
# Idaho  RESERVOIR Site - 2338 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:52:24 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1913,,,,,,,,,,,56000,60800
1914,64600,76800,70000,72900,154200,299400,242800,139800,67300,50800,63400,91900
1915,75900,58900,51600,62400,135600,169600,124300,86900,67300,47900,45800,50500
1916,55800,54800,53200,72300,106000,9400,322100,230400,90700,61300,48400,42800
1917,43000,45400,44400,47800,61600,10400,390000,166500,66800,47700,41500,38700
1918,46400,72300,59900,62800,123700,236600,233500,116200,69000,54100,27500,27500
1919,27500,27500,27500,27500,27500,297300,247900,117400,63500,46100,40800,43000
1920,43800,46300,45400,48000,61900,172700,193300,119400,62900,57300,76000,72700
1921,83300,78700,73600,94000,179900,306600,313800,121800,63600,46300,44200,49200
1922,59300,56800,50800,50600,61500,207700,5300,94600,56000,47300,44600,47400
1923,46400,59900,51200,49900,88400,247900,245800,127600,64600,47400,42100,41800
1924,44800,44700,56700,60700,61400,228300,134600,64800,48500,40600,39800,51200
1925,54700,59100,68500,71300,192300,307600,212900,99700,53800,40400,37600,37200
1926,43700,44500,44200,46100,88800,165500,521900,51200,42800,47700,71200,67300
1927,97100,86100,66800,70000,90000,2200,302500,140800,63200,77900,114200,106000
1928,99100,70400,59900,73200,128600,272600,203600,110500,61500,45600,44200,44300
1929,43700,41700,40200,43200,52500,179900,167600,94600,55000,41900,65300,59600
1930,72400,69400,77900,85200,145800,114800,110100,84200,70000,61600,63400,65800
1931,64900,72900,83300,103700,132000,127800,94600,71300,54900,51600,53600,58500
1932,63400,62900,70500,87500,147700,163000,130200,81900,64400,56300,62000,79500
1933,84200,76200,71500,71500,125000,163800,149500,89900,65600,63400,76900,78400
1934,110100,99200,89300,104800,178300,137100,88800,65600,54200,47200,55600,86600
1935,87100,90900,88600,88600,121600,163800,119800,85200,65800,55200,53600,55400
1936,56800,58300,56800,58700,143500,134900,89900,65800,51600,49000,46900,45400
1937,52100,52300,55900,54900,85700,135400,116500,79100,62000,55400,59600,89500
1938,85700,83800,76900,85200,153400,176100,123100,77100,59600,52500,55400,55400
1939,60100,64000,60600,71500,133500,128700,104600,74400,55900,50200,50900,53000
1940,59700,64200,68200,93300,128700,133500,87500,64200,50700,51800,59400,60400
1941,66500,67700,66500,95200,120900,133100,100600,72700,61800,76200,82400,86600
1942,105100,83800,73100,69100,114100,148900,124700,103400,75100,62700,59900,67000
1943,67500,65100,63600,69800,142700,146000,129500,93700,76700,66700,72000,71300
1944,74800,73100,70300,68900,107000,115800,94600,75500,64400,62700,63200,69800
1945,69100,73600,76000,83300,98700,165700,115800,76400,61100,58500,62300,75100
1946,79500,73100,85900,93900,157400,174500,130700,86900,71500,64200,65600,77100
1947,78400,76400,83100,93500,140200,136100,102500,77100,68400,65300,111200,88300
1948,89900,87300,90400,88300,130200,197900,120700,85500,68200,59600,58300,65800
1949,69100,68900,76700,81000,137100,146200,84600,62700,50500,46700,50900,76900
1950,64200,54900,55600,61800,89500,148900,143500,82200,81000,79300,123100,114300
1951,137300,112900,85500,65800,107000,141500,119300,119100,125000,121400,117900,93900
1952,70500,61100,53600,53000,142200,151000,122700,118100,116900,120000,85000,49400
1953,46700,56100,53200,55900,117200,152200,124700,122700,118300,119600,83100,57600
1954,51200,51600,52100,53600,85000,164800,134000,116000,122400,117200,116200,75100
1955,59400,50700,47800,45900,73800,138700,148600,118500,118900,122400,113400,70800
1956,67300,59600,57100,58700,134900,190500,121600,117900,121400,120500,119800,58700
1957,49900,44500,50700,53800,94400,148900,120300,119600,119300,120900,60600,47200
1958,48300,48300,69400,73600,94600,153900,120000,119800,118500,122700,116000,66500
1959,54500,62300,54500,54000,103200,139900,121900,120300,119300,94200,73600,66000
