#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06016250: Prewitt Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Prewitt Reservoir (06016250) 
# Colorado  RESERVOIR Site - 4100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:35:45 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1949,,,,,,,,,,,9930,14720
1950,21200,24830,26000,26000,24360,20320,14060,7810,1060,700,3750,5970
1951,8420,11200,13790,15780,-1830,13970,15780,7370,4360,3990,11980,5700
1952,11980,25180,24600,21200,24360,25180,21090,9930,3460,1150,1480,2890
1953,7440,12780,16970,21420,24830,21310,16770,7225,1730,-2350,-4000,-710
1954,2560,5440,7150,9520,6460,4051,-2440,-4000,-4000,-4000,0,0
1955,0,900,3000,3600,900,,,,,,,
1956,,,,,,,,,,,,
1957,,,,,,17280,25060,26000,16170,12070,11110,12690
1958,25533,20980,24130,21420,25530,25769,26006,19671,6380,4922,15962,14440
1959,13144,12736,18095,24597,25060,25770,21640,8115,-3780,-1110,16170,18199
1960,15780,20210,23790,25770,25000,26720,24360,10430,-49,-980,-780,-880
1961,-910,-910,1430,17990,26000,27680,26600,18820,8890,19880,20100,17170
1962,14730,12690,19250,23450,23330,24830,24830,22310,8420,6440,5310,5050
1963,4800,11630,26240,24480,20100,11890,9770,-610,,,-1110,-980
1964,1200,3570,5830,4420,7960,3570,4990,-850,,,,
1965,,,,,,,14250,18200,23670,19035,15880,22320
1966,23541,20670,20100,23450,26720,17380,17170,8420,2135,1430,5310,4170
1967,3810,5310,4296,3456,2080,4050,24360,20980,6240,-2727,7080,6240
1968,10010,19670,19246,24950,21420,20980,15970,6655,5180,3700,4110,3690
1969,2940,5310,4730,17170,19670,26720,25530,16070,4540,7520,25300,22770
1970,20100,17680,22540,25060,22990,23900,22650,17790,8570,9690,22990,22200
1971,23830,21380,15778,23900,25060,25530,25060,15390,7150,15390,24250,26244
1972,24100,17790,17790,23450,22320,21200,21760,11630,3810,3810,3570,4420
1973,8570,11720,13510,24130,24710,24600,24950,24600,15490,13140,11400,22990
1974,20320,17890,16370,22320,24400,22200,21200,10600,4700,16400,20000,19560
1975,21200,24360,22090,23480,22990,24100,23200,17600,9700,13900,18400,18000
1976,23900,21300,22500,23400,23100,22500,18700,6400,2200,6800,7400,6510
1977,13690,19460,22766,23680,23220,20980,17580,9850,3750,1830,2500,2340
1978,3340,5970,9690,8270,6170,16370,23220,10010,2780,1780,3460,3570
1979,10010,17380,18410,22880,27888,24930,24250,19780,16170,13790,12512,11370
1980,10010,15970,23447,22766,23904,23904,24365,20546,11020,10600,10680,13603
1981,12325,16864,24570,27890,28472,27115,21531,15788,13365,13079,14387,14800
1982,17226,21612,23060,21800,21816,25577,29180,22667,14539,15954,23423,28130
1983,26606,24980,18620,28134,24600,28953,28547,26831,24048,21677,20337,16270
1984,15010,13510,16970,22090,20980,24370,24370,20540,18820,17380,17890,16670
1985,15390,14530,13140,21750,23904,24597,20100,19030,12870,12600,12070,12070
1986,11800,10770,9770,19460,22540,23450,24250,23450,20980,16970,15780,15200
1987,13690,12690,11540,22090,22310,24130,24830,23670,16770,12420,10680,16370
1988,18620,16569,15200,20540,23670,24830,22770,16770,8890,18200,18930,17170
1989,15780,15780,20320,20100,19250,16770,22310,8570,9850,16770,16570,16770
1990,21420,19460,20100,22310,24130,22990,20100,16370,13140,11020,10600,9850
1991,11890,16870,21640,21760,22540,22650,22880,13690,9600,9280,14630,16970
1992,20210,19250,17480,22300,22880,19460,24597,19990,15548,14250,13690,13140
1993,12240,11200,16369,21640,21886,22770,24134,19890,14630,13510,12601,12067
1994,14435,10013,16972,21643,21198,21198,15974,9610,4795,4296,4051,3456
1995,5306,10682,11542,20976,22766,24600,24600,23675,18830,16174,14252,12960
1996,11716,19890,22315,22540,22200,24600,24370,19560,13510,13510,11891,11020
1997,12781,14440,22320,22320,22770,24597,23220,16770,15974,15100,14630,13510
1998,12422,11891,21198,22540,23222,24600,23220,20100,11370,10850,10430,11890
1999,17790,22540,22310,22770,24600,24250,23450,21310,19990,18620,18825,16970
2000,15390,14530,16170,22430,22650,23900,18930,10680,3000,11020,11020,11020
2001,16170,22320,22540,24600,24600,24600,21200,16070,10850,8730,8120,7810
2002,11370,17790,20320,21200,22090,17790,14440,6800,2560,280,-130,-430
2003,-430,2340,5050,8570,12240,15780,23220,12600,3810,790,3340,3340
2004,3460,6380,7670,8890,8574,10730,6940,6666,740,2340,11650,12960
2005,15487,21890,21890,24600,23560,23200,23560,16170,10350,6240,17990,17400
2006,23700,21600,23300,22500,21100,16800,10700,4100,1300,700,200,-49
2007,698,6100,15455,24597,24597,24597,22658,14913,13419,9283,16369,16972
2008,20866,22203,22090,24481,22992,19458,18096,10938,11455,9556,22540,20101
2009,19246,21198,21420,24365,24481,24597,24597,20976,21754,19035,17479,22608
2010,20646,22428,22428,24597,24365,23950,23904,19565,18199,17174,15104,13602
2011,14818,22315,22428,24365,24597,24597,24597,22766,16972,15104,12962,14158
2012,21420,19035,22315,23675,23790,20976,12512,7740,2776,832,2135,1981
2013,3111,6938,5832,18096,23790,20976,16171,8729,1981,10178,21754,19993
2014,19993,22879,22315,21309,24597,24019,24481,22992,22315,19200,20800,18721
2015,17073,15488,20976,24597,24597,24597,24597,22879,20101,17174,15778,21087
2016,19141,17377,16171,21309,24597,24597,22766,21978,16171,14252,12601,13053
2017,22540,20101,22653,23790,24481,23447,22315,14629,12333,9300,8191,12400
2018,21100,18900,18400,23900,24600,24600,23700,16900,13500,14535,16700,16600
2019,16300,21500,21000,22300,,,,,,,,
