#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06066000: Holter Lake, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Holter Lake (06066000) 
# Montana  RESERVOIR Site - 3564 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:55:29 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1936,,8520,,31300,50150,68500,61000,29700,37600,30100,23500,22100
1937,,4360,7220,6710,4180,37000,77600,70800,55400,59800,49700,44400
1938,44000,54500,24000,56500,53600,49500,74900,79500,79100,76200,80500,71000
1939,52200,67600,55600,63300,62200,80800,74900,74900,54300,48900,61500,73500
1940,72900,46400,49500,65100,56700,72100,78100,64400,49900,47900,79800,75800
1941,74000,73100,59300,47200,20600,52200,80500,76500,56500,82200,80500,77200
1942,67400,44800,54100,40300,57400,60900,82400,78100,69600,78100,82200,82200
1943,74200,35300,60600,56100,37500,54700,73400,81900,73500,74900,76200,81000
1944,67600,64400,58300,37500,70800,76700,77600,76500,76700,81000,79800,81900
1945,50200,77400,76500,77160,48910,65750,74660,79060,81100,81920,76700,79060
1946,78110,68030,76020,79060,61730,78110,79300,77160,80490,80730,81440,80250
1947,61940,58020,56490,65990,59540,78110,78610,78610,80020,80020,80020,76970
1948,79550,69170,42250,43240,51200,73970,76280,78140,77670,54790,80730,80260
1949,67120,40470,22010,24320,65760,80490,79790,79550,65100,80970,80730,80970
1950,76040,68030,49750,30750,68030,74890,73510,81920,79320,81200,80730,81200
1951,80020,45660,65090,74430,56510,55220,75350,77210,83110,80020,81200,80020
1952,69400,63740,49750,37560,57800,60640,81920,81440,68030,81440,81680,76970
1953,79790,79320,58670,38920,36610,81920,79550,79550,63070,71680,76970,81680
1954,78610,76280,74890,59110,79550,79550,78370,78610,79790,73740,70090,76510
1955,72140,62190,74660,77210,76280,81680,81680,80970,74890,73510,75810,66670
1956,65760,50580,44240,44440,73050,73740,76740,75350,80260,80020,75580,76740
1957,73970,73510,78840,68950,12610,78610,77910,76280,76280,75810,79080,72820
1958,55430,68490,76740,61300,71910,80020,81900,71230,76280,76740,79320,68950
1959,69860,59110,45250,51830,49130,37760,80970,72140,68950,60420,78140,76280
1960,78610,45250,15990,71230,79080,78610,81440,79080,75350,81920,76740,77210
1961,54790,40080,9920,11270,74890,78140,78610,69400,79550,77910,77670,74900
1962,67120,52250,51830,80970,74430,76280,71230,70770,81920,70310,72600,63970
1963,73050,33960,58670,57370,59170,75580,75810,79080,80730,76280,73970,66220
1964,70770,56940,22540,22890,66220,78140,77210,81440,78140,79080,70770,77910
1965,67580,63520,40080,14980,68950,70770,80020,81200,77670,80490,78610,80970
1966,68720,80970,81680,80020,78140,77440,78370,76740,79790,78140,81200,74430
1967,81920,80010,81110,80590,53390,74110,74570,81490,79790,79360,78090,73140
1968,79410,75170,80260,78520,79270,79830,80730,79790,78190,77210,80920,79550
1969,64860,51250,20080,71140,76320,76740,79790,72600,74890,74150,78190,79080
1970,78780,81820,73510,77960,81110,66350,78610,80490,81110,73930,80870,73560
1971,81920,79650,80590,80680,79550,77300,78520,81020,74240,63520,58880,69770
1972,76510,57720,29890,27260,67120,78800,76700,80310,79650,81110,74750,81200
1973,79790,80830,80830,81390,79030,79970,79410,79740,81630,81630,80260,79880
1974,79170,80260,80730,80350,65860,81390,80070,81440,81630,78890,80210,79600
1975,81200,79930,81680,79930,78560,78610,81540,77210,80590,80210,78520,81820
1976,80070,78560,78940,79130,79790,81440,78940,81390,81300,80020,75440,80870
1977,79740,81300,79360,80830,81060,78380,80120,81200,80540,80450,80920,80490
1978,79930,80350,80920,80780,79550,79410,81440,80830,76180,80310,80970,81820
1979,76140,81390,79500,80120,79500,76420,81630,81590,81390,81630,81250,81390
1980,81490,72820,80590,52670,15140,81390,81920,80490,80490,81440,81160,79880
1981,81020,81630,77810,15080,81060,79320,78240,80490,80870,81060,81250,78190
1982,77960,81590,79460,77110,81160,71000,80350,80590,80450,81250,78280,80020
1983,81020,81160,80970,75440,80920,80120,80590,80450,80780,80680,80210,80020
1984,77300,81300,79930,79980,80780,79600,80730,80400,81110,81350,72050,73830
1985,75950,76280,75030,78140,74750,79080,80920,81200,81060,81110,81200,65130
1986,81250,80780,78470,80590,80540,79790,81020,80920,80490,80830,80590,80400
1987,81440,81200,80590,70360,80640,80970,80490,80160,80260,80640,80590,80020
1988,81020,79030,76790,80490,80680,80590,80680,80490,80490,81440,80490,80970
1989,80020,80640,78300,78110,80490,80540,80160,81350,80730,81110,80970,80400
1990,81350,74940,65320,80970,79830,81440,80020,80780,80640,81490,81200,79650
1991,81060,81160,80640,81540,80730,80730,81020,81020,81020,80830,76930,81820
1992,81060,80730,80830,81110,81350,81250,80970,81350,80310,80540,81300,80590
1993,79980,80970,76840,81300,81060,80920,80920,80490,81350,71040,80870,81110
1994,80490,80970,80830,80490,81110,80780,80640,80920,81160,81300,80960,80960
1995,81250,81060,79330,80780,81200,80400,79970,80630,80820,80960,80680,80820
1996,81250,81150,80490,81150,80210,80400,81390,81290,80440,81620,81920,81480
1997,77060,81200,81100,80680,80590,81430,80590,81100,81150,80440,80680,80630
