#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 09009050: Jackson Gulch Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Jackson Gulch Reservoir (09009050) 
# Colorado  RESERVOIR Site - 7820 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:35:04 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1949,,,,100,2600,5700,4800,5800,4000,3000,2900,2900
1950,2900,2900,3000,3500,7700,8600,8000,5900,3600,2700,2300,2300
1951,2300,2300,2400,2600,3400,6600,5900,3600,2100,1300,1000,1000
1952,1000,1000,1000,1100,5300,9900,9900,9300,7300,5700,4100,3800
1953,3800,3800,3800,4100,9100,6300,9300,7300,5600,4300,3100,3000
1954,3100,3100,3200,3400,5600,6400,5100,4200,2700,2500,3100,3100
1955,3200,3100,3200,3200,5200,7800,6600,4400,4400,2500,1600,1600
1956,1600,1600,1600,2400,5000,6400,5700,3200,2000,1200,700,600
1957,600,700,800,1100,3000,8900,9900,9900,9600,8900,8000,8000
1958,8000,8000,8000,8000,8300,8200,9800,7000,4900,4200,4100,4000
1959,4000,4000,4100,4300,5300,4900,3600,1600,1000,800,800,900
1960,1038,1043,1097,1881,6889,9922,9922,8084,4756,3476,3215,3205
1961,3205,3205,3215,3465,5878,9977,9071,5973,4770,4770,4893,4879
1962,4866,4866,4879,5189,9716,9890,9672,7798,4121,3079,2937,2800
1963,2917,2927,2947,3521,6554,6579,4635,2492,2191,2555,1918,1918
1964,1910,1910,1910,2009,3028,9082,8123,6197,5451,4399,1123,3853
1965,3845,3845,3845,3926,7101,9977,9977,9977,8614,7798,7704,7667
1966,7667,7667,7667,8376,9977,9977,9102,6872,4729,3891,3432,3421
1967,3487,3487,3498,4171,5847,6165,5526,3855,3521,3399,2868,2819
1968,2819,2819,2819,3355,4582,9501,9933,8634,8765,7048,6461,6461
1969,6445,6445,6445,6942,9459,9977,9955,9629,7119,6149,6016,6000
1970,5984,5984,6080,6307,7294,9948,9773,8291,5843,6473,6495,6495
1971,6473,6495,6495,7101,9868,9977,9623,7463,5245,4306,4196,4208
1972,4208,4208,4233,5496,7874,7537,6380,4171,2865,2501,4756,4756
1973,4756,4756,4756,4756,5496,7427,9977,9977,7667,6733,6328,6328
1974,6328,6328,6328,6562,7704,8535,6230,4140,3170,2927,2898,2898
1975,2898,2898,2898,2898,4743,9890,9977,9933,7761,6361,5738,5738
1976,5738,5738,6036,6052,8436,9977,9082,6378,4935,4171,4233,4233
1977,4233,4233,4322,4322,4797,4756,4208,3926,3761,3726,3577,3577
1978,3773,3773,3773,3773,5496,9977,9977,7798,4555,2790,2685,2723
1979,2723,2723,2723,4322,6395,9977,8917,3987,0,0,211,434
1980,435,435,435,435,3280,9977,9977,8650,5434,4604,4608,4569
1981,4542,4516,4569,4756,6924,8574,8938,8220,6545,5363,4893,4866
1982,4852,4852,4852,4907,7704,9933,9912,7893,6279,5785,5663,5631
1983,5662,5662,5662,5754,6246,8535,9868,9640,8376,6165,5847,5785
1984,5769,5769,5769,5769,6149,9759,9802,7518,5466,3914,3726,3726
1985,3726,3726,3726,4035,8836,9955,9890,8084,5631,5232,5305,5305
1986,5305,5305,5305,5647,8856,9955,9977,9459,6825,6279,6328,7048
1987,7048,7048,7048,7048,7408,9544,9977,8654,7030,5496,5132,5407
1988,5392,5392,5392,5406,8135,9977,9651,7893,6802,7317,7119,7101
1989,7101,7101,7101,7245,9977,9716,7988,5526,4109,3173,2756,2756
1990,2756,2756,2756,3034,4332,7773,7403,5796,4119,3607,3912,4143
1991,4143,4143,4143,4552,7792,9948,9601,7736,5537,6144,5242,5257
1992,5257,5257,5257,5796,9241,9912,9948,8174,6290,5113,5113,5113
1993,5113,5113,5113,5811,7275,9495,9948,7661,5015,4699,4672,4672
1994,4672,4672,4672,5071,7495,9948,9304,5905,3179,2468,2379,2495
1995,2632,2766,3014,3997,5905,9452,9948,9507,6242,5001,4487,4119
1996,4119,4119,4131,4579,7078,9221,6557,4358,2276,1557,1557,1642
1997,2009,2342,2675,4158,7704,9977,9977,8917,8455,8084,6802,5677
1998,4729,4729,4838,5392,7704,9977,9868,7969,5909,4011,4158,4756
