#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06307000: Tongue River Res, MT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tongue River Res (06307000) 
# Montana  RESERVOIR Site - 3424 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 3:00:14 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1939,6500,3700,2000,2500,6500,36000,35500,30500,22000,11000,0,0
1940,0,0,0,7500,22200,36800,36900,23300,11800,1800,3600,4500
1941,5400,7000,8950,13400,25090,58000,45000,40500,40000,42000,38430,22140
1942,21270,19760,23480,31750,35660,65500,44800,36410,33150,26490,11970,590
1943,590,590,1310,21630,15020,31010,40000,30220,40450,38450,30020,14140
1944,11450,11450,13930,27670,24720,72550,75760,41540,37880,37120,29750,12170
1945,7180,7860,7860,12880,12580,28000,38640,39650,40110,42090,20440,7780
1946,8320,10460,13920,21270,18460,30470,41730,39420,33950,30920,21130,5460
1947,5180,2140,7940,16040,10240,20030,40220,20340,32310,25350,17560,12030
1948,9040,7840,9720,22630,20940,22240,46490,37000,33940,28890,17180,4650
1949,4130,3670,3960,7890,7730,22630,37820,36180,33020,32100,33830,22840
1950,9720,4980,5780,12440,13540,19640,34550,36390,29470,18470,12850,6140
1951,7250,6880,7410,7970,17250,18990,32300,35440,31080,27000,26100,13060
1952,11620,12440,13060,35770,27410,34550,36280,34650,32100,23620,10360,10360
1953,9720,11410,13470,17400,20760,24940,43660,39240,35160,32810,19900,8520
1954,7290,6030,7090,8130,8520,26010,30540,26260,21330,15370,11460,10120
1955,9120,7000,8600,10760,28230,35980,41210,32000,20940,13360,10400,9500
1956,9500,9500,9500,35770,18860,29390,40880,36800,26750,20910,10400,9480
1957,8960,8600,10840,14650,16030,31690,42370,33870,25180,8290,4110,8540
1958,9160,10100,9180,11010,13350,26310,33690,32940,30120,24730,16660,15710
1959,15600,15420,18880,31530,24520,30630,62680,56620,29990,14960,14240,13980
1960,14160,13950,13890,24550,19370,19930,27510,16370,5840,830,970,4070
1961,7170,9840,16530,22630,22630,40720,50350,35670,22430,20360,30710,39040
1962,39860,41080,48550,47260,40650,46530,46910,47370,33000,27000,26000,26000
1963,27000,30000,39000,30000,45000,37000,46000,45000,31000,25000,29100,36300
1964,40440,40700,41100,41100,43000,41560,64780,57620,43400,30000,25200,25100
1965,29000,31000,35000,50000,20000,26900,65000,58500,46500,38000,25700,25500
1966,26680,33670,34340,43400,49580,61330,54900,36500,18250,10240,16940,23840
1967,28250,30390,35410,42710,40730,53850,55200,45790,29640,26870,30900,27060
1968,26720,30720,48500,45900,36000,42020,60100,52600,47980,38270,31280,33200
1969,30180,33000,34000,57310,59480,59170,63960,54000,38270,21200,27400,32800
1970,30000,27400,32800,37850,35400,44400,53160,48500,32800,27400,26890,27060
