#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 12474000: Keechelus, WA
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Keechelus (12474000) 
# Washington  RESERVOIR Site - 2450 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:32:17 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1960,107420,82300,93930,108920,138380,152560,158750,121750,66130,33320,36470,62230
1961,71220,94430,111270,101180,121080,154710,158180,131240,86080,62560,67590,82360
1962,98700,97510,102680,110450,146780,158820,159160,136430,85550,49980,55080,87630
1963,95890,99810,126660,139150,157060,159700,151240,101550,38960,8480,12870,33350
1964,42180,56840,62840,70700,74150,107590,159900,159090,133410,105500,91480,98250
1965,102230,105130,106570,86990,122480,153350,158520,147370,99930,49870,39540,54040
1966,65650,76410,81860,93410,127890,144010,152440,141890,88770,46190,36450,51430
1967,85050,113260,119160,126920,109600,144080,159260,142980,99930,51680,65710,84040
1968,110930,126060,152720,146210,141460,146290,140780,103480,60490,59250,76760,99670
1969,100300,105000,96700,102550,107900,160140,152570,110200,46480,9450,17600,27810
1970,35900,49080,58160,74500,97490,145290,157620,128700,91950,62950,49990,66240
1971,72300,97650,123140,122340,97930,143420,154870,159160,136590,88880,74710,99040
1972,115770,137130,152770,126800,105740,139100,151480,136450,84040,46900,42700,51740
1973,83030,98640,102080,112160,126920,122680,103880,75190,21480,7170,15660,28160
1974,44860,87670,99540,114610,116300,114410,159420,159470,127200,103090,78160,85230
1975,114300,126940,95340,96050,99670,131060,159310,130880,86170,72170,78680,117340
1976,132210,117690,124350,128150,105500,143270,137080,103940,28820,10640,16160,29060
1977,45130,65820,80170,91330,119270,141140,158000,106040,16020,18160,26863,73322
1978,131078,139636,148545,157693,151203,158875,153221,120631,75552,55926,52376,57206
