#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06016040: Boyd Lake, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Boyd Lake (06016040) 
# Colorado  RESERVOIR Site - 4950 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:34:03 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1950,25382,25382,25841,25841,25531,23960,21277,18909,16614,14565,14013,10493
1951,6608,6493,7208,7208,7322,4802,763,11660,,,,
1952,21677,21979,21979,21979,22485,24924,24924,20220,17041,16648,16304,16200
1953,15862,16156,16304,16150,16304,14423,11395,7684,6847,8052,7804,7800
1954,7804,7926,8053,8053,7326,5461,-594,-597,-596,-597,-597,4382
1955,-592,-592,-592,-592,-592,-600,-600,-600,-600,-600,-600,7200
1956,-600,-600,-600,7458,7723,9017,8396,4385,4214,2437,2193,2500
1957,3827,4111,4615,4845,5380,36931,44850,44850,44850,44850,41736,39681
1958,41574,41574,41574,41574,41574,43310,43310,43310,43032,41574,42708,41898
1959,41736,41636,41636,39990,40307,44684,44353,39990,38745,35909,35899,36838
1960,35025,36489,38443,37838,37687,41398,44850,38443,34237,34162,34018,34018
1961,34018,34018,32618,32898,32898,44850,44850,39990,38443,40782,40782,40306
1962,40146,39990,39990,39990,42374,38588,44850,44519,40307,40604,40300,40000
1963,39062,38962,39681,38766,38852,36636,39681,35456,34018,36196,36636,11952
1964,36361,36361,35898,35851,35456,34306,32758,30062,26801,25056,24946,24946
