#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 10166500: Utah Lake, UT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Utah Lake (10166500) 
# Utah  RESERVOIR Site - 4660 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 15, 2019 3:33:35 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1959,555932,608291,665549,703323,706468,654355,582452,497842,422788,387013,390290,409974
1960,439289,494941,549651,588775,580658,523029,442482,305401,234654,197607,204020,257482
1961,303661,328871,356348,374234,372195,314993,242592,185136,149387,133529,146988,171508
1962,214156,249033,313138,373234,437964,460750,429026,339597,257919,227635,222113,239067
1963,260897,299905,338229,377409,408272,378080,371505,285318,221921,207101,201148,234366
1964,270508,315875,347968,395360,447164,487730,544196,466397,386603,340292,328224,361906
1965,418882,468930,506167,561459,610955,606225,623651,586798,539346,541900,560562,605075
1966,665636,714484,758442,797090,792808,750660,671991,574011,499644,458077,460435,486529
1967,549145,609394,656832,698649,709873,693969,746995,683983,608546,564840,562639,602518
1968,656074,700437,763651,815186,849490,844787,825676,755502,709312,658767,669905,707404
1969,760714,798358,852243,872249,929857,900406,902680,835579,773405,721973,749822,781276
1970,816918,855809,888395,883707,876066,848846,825196,760049,686758,655297,673521,734075
1971,780352,811535,852297,867310,897715,885036,834817,745254,676026,640147,682467,730201
1972,790446,814546,836786,857425,855894,808369,771309,683171,607140,562452,605120,649463
