#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 06016130: Gross Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Gross Reservoir (06016130) 
# Colorado  RESERVOIR Site - 7250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:58:43 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1955,,,,,,0,0,0,0,0,0,0
1956,0,0,0,0,0,5500,17500,12500,11800,3500,900,1000
1957,-11986,1090,1203,87831,-5706,-9454,29555,26512,31235,30964,29551,25200
1958,24400,24500,24800,23900,18700,29800,28300,27300,21500,16300,12700,10300
1959,7445,6888,7075,6763,812,6219,30310,25101,28083,21599,24552,20300
1960,16978,13205,11054,12316,6937,23803,31591,31311,28909,25402,19112,15400
1961,11906,8023,5517,6397,1884,10971,31527,30410,28288,30951,28454,28800
1962,28624,27870,22792,19412,21109,19721,30998,28868,24703,24030,25933,19700
1963,15749,12296,12451,13474,4375,6239,12428,5365,5633,6602,6605,7100
1964,6462,6460,7380,8263,5390,7380,22949,22236,19231,15811,14446,14000
1965,13554,13585,14638,5685,2003,-50,21059,31485,30661,30964,27157,24000
1966,21610,21286,21332,17545,11771,17208,27979,23788,18013,15080,12379,12300
1967,11200,12600,13400,12200,6900,11200,31400,30500,26010,22810,21521,18900
1968,17483,18315,19017,17983,12570,10142,23210,27419,27161,23825,22279,21700
1969,20833,22330,23133,21767,15704,29911,29704,28872,24428,22832,24206,24200
