#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 07205500: Eagle Nest Lake nr Eagle Nest, NM, NM
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Eagle Nest Lake Nr Eagle Nest, Nm (07205500) 
# New Mexico  RESERVOIR Site - 8180 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 16, 2019 3:53:12 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1960,,,,,,,,,,,9870,10180
1961,10560,10780,11010,13930,19500,23080,22100,21150,21310,21720,21150,21570
1962,22100,22640,23180,26110,36980,37900,36070,33440,30640,29300,28120,28060
1963,28380,28770,29430,31470,30440,24320,22100,20640,19740,19550,17950,18040
1964,18220,18460,18780,19350,20940,19740,15950,14980,14120,13000,12340,12080
1965,12430,13110,13520,15460,18130,21410,24620,25140,26470,26420,25800,25860
1966,26980,27300,27600,29900,30200,28250,24800,21900,23200,22900,21500,20700
1967,21100,21500,21600,21900,20600,18100,16800,15800,15830,15800,14900,14700
1968,14900,15300,15700,16800,17770,20300,19300,17990,18060,15600,14600,14600
1969,14800,15100,15300,16700,20500,24600,24400,24500,25500,25860,26300,27400
1970,28000,28900,29500,29970,33600,38100,37280,35400,33800,32400,31500,31870
1971,32160,32310,32900,32430,31100,29530,27500,26560,26290,25500,24790,24700
1972,25200,25500,25950,25750,24400,22530,20700,19600,19120,18700,18360,17460
1973,17540,17700,18200,19350,23190,34000,33700,31800,30000,28640,27920,27600
1974,27990,28600,28900,30300,29100,25100,23600,21500,21000,20000,19100,19100
1975,19160,19700,20000,20890,24100,26300,25320,22830,22230,22200,19300,19340
1976,19800,20400,20900,21900,22900,21200,19210,17100,15500,14500,14300,14450
1977,14580,14750,14900,15600,15200,13300,11550,10550,10100,9750,8760,9170
1978,9400,9800,10120,11070,10500,12300,10600,9840,8700,8150,7100,7300
1979,7730,8050,8600,11000,19000,29700,36970,36200,36220,35200,34000,33700
1980,34150,35000,36070,37360,39870,50000,49380,46200,43000,40900,39300,39400
1981,39550,39900,40000,39870,38000,34700,32400,30800,31260,31300,30000,28310
1982,28380,28900,28950,30900,31900,34160,33050,30750,31600,32300,32400,32870
1983,33400,34000,35000,37140,42700,50300,53800,52700,50700,48400,46840,46490
1984,46750,47560,47560,49280,53630,58190,57380,54600,54410,52860,52900,52860
1985,53730,53920,55390,59620,68640,76950,77650,76120,74000,72030,72050,72030
1986,71000,71300,72610,73300,74120,73300,77050,76240,75430,75180,74590,75200
1987,76120,76710,77070,70780,74120,76710,77840,74260,73190,72510,70930,70530
1988,70770,71600,72360,73090,72810,70170,69480,67910,67470,66950,66790,66170
1989,66060,66700,67750,72250,73340,71380,69880,66680,65050,63960,62940,62680
1990,63110,63930,64620,66730,70370,71110,68090,66320,64870,62520,62160,62370
1991,62760,63400,64250,66350,70970,73720,73010,71910,73680,74770,73450,74060
1992,74990,74770,72830,72830,75880,75480,74920,70990,68670,65030,63390,63190
1993,64160,65120,66300,67060,69990,76940,76370,72230,72250,71220,69390,69370
1994,69810,70230,70750,75040,75040,80450,75850,72160,71500,71420,70910,71300
1995,71590,72390,74490,75810,75980,79020,79240,76680,72240,70840,69420,69190
1996,69420,70210,71140,71980,70910,65850,63300,58900,56660,55740,54800,55500
1997,55600,56500,57300,60800,64800,71700,72900,68900,67500,64800,63500,63500
1998,63900,64200,64800,66800,68100,68500,64300,61800,59600,57200,56900,57700
1999,58100,58400,58400,58700,59200,66900,66900,66200,66600,64700,64200,64100
2000,64400,64800,65200,65800,67400,65200,62600,60400,57500,55100,53900,53600
2001,53700,54100,54400,56000,57800,58700,56200,53100,51100,48900,47800,47400
2002,46100,46500,47900,48200,45900,42800,40800,39600,37000,36100,34900,34500
2003,34900,34700,34000,37400,37400,36300,35000,30900,27700,26400,25800,25600
2004,25400,25700,26100,27000,29200,29600,28100,26900,26200,25500,24800,25000
2005,25500,26400,27600,29000,36400,45600,45900,43600,41800,40900,39800,39800
2006,40000,40300,40600,40700,39300,37400,34700,33600,33500,33100,31500,31700
2007,32200,32800,33400,36300,39600,42200,42000,41300,39700,39000,36800,36600
2008,37400,38100,39000,43100,48000,50800,49600,48800,48600,47400,45500,45400
2009,46000,46800,47800,49400,50500,52200,51000,48300,45200,44700,43600,43400
2010,43700,44200,44800,46200,57300,61100,59900,58400,56300,53300,51500,50700
2011,51000,51500,52000,52300,50800,48200,45100,42700,40200,39300,38200,38200
2012,38100,38500,38800,39900,41200,39400,36200,34100,32100,30300,29300,28900
2013,29000,29300,29500,30000,29300,26000,23400,22900,21800,21200,20400,20500
2014,20300,20600,20800,21100,21500,21800,21200,19600,19500,18400,17100,17000
2015,17200,17600,18300,20500,22400,28500,30100,30900,31000,29600,29200,29400
2016,29700,30300,31400,32300,33800,35400,35000,32800,31900,30900,29600,29300
2017,29800,30700,31900,34100,37800,43200,43200,42200,42600,41800,42100,42400
2018,42400,42700,42800,43000,42300,40500,38040,37000,35900,34600,33500,33200
2019,33300,33400,34000,36600,43100,,,,,,,
