state,year,month,D0,D1,D2,D3,D4
AZ,2000,01,90.1,0.0,0.0,0.0,0.0
AZ,2000,02,95.8,22.3,0.0,0.0,0.0
AZ,2000,03,51.4,14.2,0.0,0.0,0.0
AZ,2000,04,38.4,11.7,0.0,0.0,0.0
AZ,2000,05,66.2,30.2,3.7,0.0,0.0
AZ,2000,06,82.1,50.4,6.5,0.0,0.0
AZ,2000,07,69.3,2.2,0.0,0.0,0.0
AZ,2000,08,85.0,23.3,4.4,0.0,0.0
AZ,2000,09,77.7,10.7,2.3,0.0,0.0
AZ,2000,10,64.4,19.6,2.2,0.0,0.0
AZ,2000,11,0.0,0.0,0.0,0.0,0.0
AZ,2000,12,0.0,0.0,0.0,0.0,0.0
AZ,2001,01,2.1,0.0,0.0,0.0,0.0
AZ,2001,02,0.0,0.0,0.0,0.0,0.0
AZ,2001,03,0.0,0.0,0.0,0.0,0.0
AZ,2001,04,0.0,0.0,0.0,0.0,0.0
AZ,2001,05,0.0,0.0,0.0,0.0,0.0
AZ,2001,06,15.3,0.0,0.0,0.0,0.0
AZ,2001,07,6.6,0.0,0.0,0.0,0.0
AZ,2001,08,0.0,0.0,0.0,0.0,0.0
AZ,2001,09,0.0,0.0,0.0,0.0,0.0
AZ,2001,10,0.0,0.0,0.0,0.0,0.0
AZ,2001,11,0.0,0.0,0.0,0.0,0.0
AZ,2001,12,0.0,0.0,0.0,0.0,0.0
AZ,2002,01,28.7,0.0,0.0,0.0,0.0
AZ,2002,02,84.0,17.8,0.0,0.0,0.0
AZ,2002,03,100.0,78.4,11.1,0.0,0.0
AZ,2002,04,100.0,100.0,83.0,8.9,0.0
AZ,2002,05,100.0,100.0,100.0,74.3,4.9
AZ,2002,06,100.0,100.0,100.0,90.3,24.2
AZ,2002,07,100.0,100.0,100.0,94.8,35.1
AZ,2002,08,100.0,100.0,98.0,66.2,24.8
AZ,2002,09,100.0,100.0,97.5,60.6,20.2
AZ,2002,10,100.0,100.0,92.9,61.3,13.9
AZ,2002,11,100.0,100.0,90.8,61.2,11.6
AZ,2002,12,100.0,100.0,90.4,60.8,11.4
AZ,2003,01,100.0,100.0,91.9,65.5,11.5
AZ,2003,02,100.0,100.0,93.1,61.0,9.4
AZ,2003,03,100.0,100.0,68.9,30.5,0.0
AZ,2003,04,100.0,100.0,69.8,28.1,0.0
AZ,2003,05,100.0,100.0,80.4,32.0,0.0
AZ,2003,06,100.0,100.0,88.2,33.8,3.1
AZ,2003,07,100.0,100.0,97.3,50.7,5.0
AZ,2003,08,100.0,100.0,81.8,47.0,6.0
AZ,2003,09,100.0,98.3,70.3,33.0,4.2
AZ,2003,10,100.0,92.4,62.7,26.2,1.8
AZ,2003,11,100.0,88.4,57.7,30.8,1.7
AZ,2003,12,100.0,84.3,55.6,32.9,2.4
AZ,2004,01,100.0,87.8,63.6,38.6,2.4
AZ,2004,02,100.0,84.7,67.5,37.5,2.6
AZ,2004,03,100.0,89.0,70.7,44.7,1.3
AZ,2004,04,100.0,88.3,72.1,47.9,0.0
AZ,2004,05,100.0,88.8,73.7,50.8,0.0
AZ,2004,06,100.0,90.5,74.7,51.2,0.0
AZ,2004,07,100.0,90.5,75.9,52.6,0.0
