year,value,anomaly,month,type,state
2000,-2.32,-2.43,01,drought,NM
2001,2.68,2.57,01,drought,NM
2002,-1.88,-1.99,01,drought,NM
2003,-2.61,-2.72,01,drought,NM
2004,-4.35,-4.46,01,drought,NM
2005,2.27,2.16,01,drought,NM
2006,-2.32,-2.43,01,drought,NM
2007,2.44,2.33,01,drought,NM
2008,-0.72,-0.83,01,drought,NM
2009,-1.08,-1.19,01,drought,NM
2010,1.07,0.96,01,drought,NM
2011,-2.02,-2.13,01,drought,NM
2012,-3.47,-3.58,01,drought,NM
2013,-4.89,-5.00,01,drought,NM
2014,-2.62,-2.73,01,drought,NM
2015,0.83,0.72,01,drought,NM
2016,-0.06,-0.17,01,drought,NM
2017,1.47,1.36,01,drought,NM
2018,-2.30,-2.41,01,drought,NM
2019,-2.07,-2.18,01,drought,NM
2020,-1.23,-1.34,01,drought,NM
2021,-4.51,-4.62,01,drought,NM
2000,-3.11,-3.30,02,drought,NM
2001,2.55,2.36,02,drought,NM
2002,-2.00,-2.19,02,drought,NM
2003,-2.03,-2.22,02,drought,NM
2004,0.46,0.27,02,drought,NM
2005,3.19,3.00,02,drought,NM
2006,-2.89,-3.08,02,drought,NM
2007,2.03,1.84,02,drought,NM
2008,-0.80,-0.99,02,drought,NM
2009,-1.70,-1.89,02,drought,NM
2010,1.67,1.48,02,drought,NM
2011,-2.05,-2.24,02,drought,NM
2012,-3.40,-3.59,02,drought,NM
2013,-4.59,-4.78,02,drought,NM
2014,-3.16,-3.35,02,drought,NM
2015,0.63,0.44,02,drought,NM
2016,-0.63,-0.82,02,drought,NM
2017,-0.35,-0.54,02,drought,NM
2018,-2.35,-2.54,02,drought,NM
2019,-1.89,-2.08,02,drought,NM
2020,-0.96,-1.15,02,drought,NM
2021,-4.30,-4.49,02,drought,NM
2000,-2.42,-2.60,03,drought,NM
2001,2.70,2.52,03,drought,NM
2002,-2.04,-2.22,03,drought,NM
2003,-1.89,-2.07,03,drought,NM
2004,0.11,-0.07,03,drought,NM
2005,3.40,3.22,03,drought,NM
2006,-3.17,-3.35,03,drought,NM
2007,1.89,1.71,03,drought,NM
2008,-1.20,-1.38,03,drought,NM
2009,-2.26,-2.44,03,drought,NM
2010,1.89,1.71,03,drought,NM
2011,-2.97,-3.15,03,drought,NM
2012,-3.72,-3.90,03,drought,NM
2013,-4.74,-4.92,03,drought,NM
2014,-3.56,-3.74,03,drought,NM
2015,0.34,0.16,03,drought,NM
2016,-1.53,-1.71,03,drought,NM
2017,-1.09,-1.27,03,drought,NM
2018,-3.04,-3.22,03,drought,NM
2019,-1.46,-1.64,03,drought,NM
2020,-0.66,-0.84,03,drought,NM
2021,-4.06,-4.24,03,drought,NM
2000,-2.85,-3.13,04,drought,NM
2001,2.49,2.21,04,drought,NM
2002,-2.81,-3.09,04,drought,NM
2003,-2.23,-2.51,04,drought,NM
2004,1.53,1.25,04,drought,NM
2005,3.60,3.32,04,drought,NM
2006,-3.93,-4.21,04,drought,NM
2007,1.88,1.60,04,drought,NM
2008,-1.69,-1.97,04,drought,NM
2009,-2.67,-2.95,04,drought,NM
2010,2.14,1.86,04,drought,NM
2011,-3.75,-4.03,04,drought,NM
2012,-4.22,-4.50,04,drought,NM
2013,-5.14,-5.42,04,drought,NM
2014,-3.96,-4.24,04,drought,NM
2015,0.22,-0.06,04,drought,NM
2016,-1.45,-1.73,04,drought,NM
2017,-1.03,-1.31,04,drought,NM
2018,-3.86,-4.14,04,drought,NM
2019,-1.11,-1.39,04,drought,NM
2020,-0.95,-1.23,04,drought,NM
2021,-4.26,-4.54,04,drought,NM
2000,-4.04,-4.29,05,drought,NM
2001,2.59,2.34,05,drought,NM
2002,-3.78,-4.03,05,drought,NM
2003,-3.00,-3.25,05,drought,NM
2004,0.77,0.52,05,drought,NM
2005,3.98,3.73,05,drought,NM
2006,-4.71,-4.96,05,drought,NM
2007,2.43,2.18,05,drought,NM
2008,-1.68,-1.93,05,drought,NM
2009,-3.06,-3.31,05,drought,NM
2010,1.76,1.51,05,drought,NM
2011,-4.36,-4.61,05,drought,NM
2012,-4.35,-4.60,05,drought,NM
2013,-5.72,-5.97,05,drought,NM
2014,-3.89,-4.14,05,drought,NM
2015,1.44,1.19,05,drought,NM
2016,-1.44,-1.69,05,drought,NM
2017,-1.20,-1.45,05,drought,NM
2018,-4.62,-4.87,05,drought,NM
2019,-1.03,-1.28,05,drought,NM
2020,-1.84,-2.09,05,drought,NM
2021,-4.28,-4.53,05,drought,NM
2000,-3.11,-3.49,06,drought,NM
2001,2.38,2.00,06,drought,NM
2002,-4.31,-4.69,06,drought,NM
2003,-2.88,-3.26,06,drought,NM
2004,0.48,0.10,06,drought,NM
2005,3.66,3.28,06,drought,NM
2006,-4.83,-5.21,06,drought,NM
2007,-0.03,-0.41,06,drought,NM
2008,-2.22,-2.60,06,drought,NM
2009,-2.80,-3.18,06,drought,NM
2010,1.54,1.16,06,drought,NM
2011,-5.26,-5.64,06,drought,NM
2012,-5.03,-5.41,06,drought,NM
2013,-6.12,-6.50,06,drought,NM
2014,-4.50,-4.88,06,drought,NM
2015,1.51,1.13,06,drought,NM
2016,-1.62,-2.00,06,drought,NM
2017,-1.38,-1.76,06,drought,NM
2018,-4.97,-5.35,06,drought,NM
2019,-1.24,-1.62,06,drought,NM
2020,-2.34,-2.72,06,drought,NM
2000,-3.58,-4.09,07,drought,NM
2001,-0.45,-0.96,07,drought,NM
2002,-4.12,-4.63,07,drought,NM
2003,-4.31,-4.82,07,drought,NM
2004,0.40,-0.11,07,drought,NM
2005,-1.04,-1.55,07,drought,NM
2006,0.54,0.03,07,drought,NM
2007,0.00,-0.51,07,drought,NM
2008,1.55,1.04,07,drought,NM
2009,-2.46,-2.97,07,drought,NM
2010,2.68,2.17,07,drought,NM
2011,-5.65,-6.16,07,drought,NM
2012,-5.04,-5.55,07,drought,NM
2013,-4.60,-5.11,07,drought,NM
2014,0.54,0.03,07,drought,NM
2015,2.58,2.07,07,drought,NM
2016,-2.69,-3.20,07,drought,NM
2017,0.18,-0.33,07,drought,NM
2018,-4.64,-5.15,07,drought,NM
2019,-1.79,-2.30,07,drought,NM
2020,-2.66,-3.17,07,drought,NM
2000,-4.09,-4.46,08,drought,NM
2001,-0.52,-0.89,08,drought,NM
2002,-4.53,-4.90,08,drought,NM
2003,-4.81,-5.18,08,drought,NM
2004,0.22,-0.15,08,drought,NM
2005,-0.48,-0.85,08,drought,NM
2006,2.30,1.93,08,drought,NM
2007,-0.61,-0.98,08,drought,NM
2008,1.59,1.22,08,drought,NM
2009,-3.37,-3.74,08,drought,NM
2010,-0.23,-0.60,08,drought,NM
2011,-6.03,-6.40,08,drought,NM
2012,-5.50,-5.87,08,drought,NM
2013,-4.56,-4.93,08,drought,NM
2014,0.17,-0.20,08,drought,NM
2015,1.79,1.42,08,drought,NM
2016,-1.84,-2.21,08,drought,NM
2017,0.54,0.17,08,drought,NM
2018,-4.83,-5.20,08,drought,NM
2019,-2.74,-3.11,08,drought,NM
2020,-4.22,-4.59,08,drought,NM
2000,-5.10,-5.33,09,drought,NM
2001,-1.24,-1.47,09,drought,NM
2002,-3.47,-3.70,09,drought,NM
2003,-5.07,-5.30,09,drought,NM
2004,0.58,0.35,09,drought,NM
2005,-0.52,-0.75,09,drought,NM
2006,2.76,2.53,09,drought,NM
2007,-0.66,-0.89,09,drought,NM
2008,-0.34,-0.57,09,drought,NM
2009,-3.02,-3.25,09,drought,NM
2010,-0.66,-0.89,09,drought,NM
2011,-5.61,-5.84,09,drought,NM
2012,-5.40,-5.63,09,drought,NM
2013,-2.30,-2.53,09,drought,NM
2014,1.11,0.88,09,drought,NM
2015,0.84,0.61,09,drought,NM
2016,-1.68,-1.91,09,drought,NM
2017,0.89,0.66,09,drought,NM
2018,-4.45,-4.68,09,drought,NM
2019,-2.93,-3.16,09,drought,NM
2020,-4.57,-4.80,09,drought,NM
2000,1.69,1.45,10,drought,NM
2001,-1.97,-2.21,10,drought,NM
2002,-2.74,-2.98,10,drought,NM
2003,-4.87,-5.11,10,drought,NM
2004,0.89,0.65,10,drought,NM
2005,-0.43,-0.67,10,drought,NM
2006,3.09,2.85,10,drought,NM
2007,-1.42,-1.66,10,drought,NM
2008,-0.20,-0.44,10,drought,NM
2009,-2.62,-2.86,10,drought,NM
2010,-0.97,-1.21,10,drought,NM
2011,-5.15,-5.39,10,drought,NM
2012,-5.63,-5.87,10,drought,NM
2013,-2.39,-2.63,10,drought,NM
2014,0.45,0.21,10,drought,NM
2015,2.01,1.77,10,drought,NM
2016,-2.44,-2.68,10,drought,NM
2017,-0.16,-0.40,10,drought,NM
2018,-2.69,-2.93,10,drought,NM
2019,-2.49,-2.73,10,drought,NM
2020,-4.72,-4.96,10,drought,NM
2000,2.45,2.29,11,drought,NM
2001,-1.68,-1.84,11,drought,NM
2002,-2.56,-2.72,11,drought,NM
2003,-4.31,-4.47,11,drought,NM
2004,1.82,1.66,11,drought,NM
2005,-1.09,-1.25,11,drought,NM
2006,2.17,2.01,11,drought,NM
2007,-1.70,-1.86,11,drought,NM
2008,-0.56,-0.72,11,drought,NM
2009,-2.75,-2.91,11,drought,NM
2010,-1.37,-1.53,11,drought,NM
2011,-4.86,-5.02,11,drought,NM
2012,-5.73,-5.89,11,drought,NM
2013,-1.98,-2.14,11,drought,NM
2014,0.37,0.21,11,drought,NM
2015,2.11,1.95,11,drought,NM
2016,0.40,0.24,11,drought,NM
2017,-1.09,-1.25,11,drought,NM
2018,-2.60,-2.76,11,drought,NM
2019,-1.26,-1.42,11,drought,NM
2020,-4.81,-4.97,11,drought,NM
2000,2.15,1.96,12,drought,NM
2001,-1.80,-1.99,12,drought,NM
2002,-1.90,-2.09,12,drought,NM
2003,-4.42,-4.61,12,drought,NM
2004,1.69,1.50,12,drought,NM
2005,-1.67,-1.86,12,drought,NM
2006,2.21,2.02,12,drought,NM
2007,-0.87,-1.06,12,drought,NM
2008,-0.47,-0.66,12,drought,NM
2009,0.28,0.09,12,drought,NM
2010,-1.56,-1.75,12,drought,NM
2011,-3.29,-3.48,12,drought,NM
2012,-5.31,-5.50,12,drought,NM
2013,-2.06,-2.25,12,drought,NM
2014,0.21,0.02,12,drought,NM
2015,2.20,2.01,12,drought,NM
2016,0.59,0.40,12,drought,NM
2017,-1.73,-1.92,12,drought,NM
2018,-2.16,-2.35,12,drought,NM
2019,-1.14,-1.33,12,drought,NM
2020,-4.66,-4.85,12,drought,NM
