date,acre_feet
01-Jan-2000,
02-Jan-2000,
03-Jan-2000,
04-Jan-2000,
05-Jan-2000,
06-Jan-2000,
07-Jan-2000,
08-Jan-2000,
09-Jan-2000,
10-Jan-2000,
11-Jan-2000,
12-Jan-2000,
13-Jan-2000,
14-Jan-2000,
15-Jan-2000,
16-Jan-2000,
17-Jan-2000,
18-Jan-2000,
19-Jan-2000,
20-Jan-2000,
21-Jan-2000,
22-Jan-2000,
23-Jan-2000,
24-Jan-2000,
25-Jan-2000,
26-Jan-2000,
27-Jan-2000,
28-Jan-2000,
29-Jan-2000,
30-Jan-2000,
31-Jan-2000,
01-Feb-2000,
02-Feb-2000,
03-Feb-2000,
04-Feb-2000,
05-Feb-2000,
06-Feb-2000,
07-Feb-2000,
08-Feb-2000,
09-Feb-2000,
10-Feb-2000,
11-Feb-2000,
12-Feb-2000,
13-Feb-2000,
14-Feb-2000,
15-Feb-2000,
16-Feb-2000,
17-Feb-2000,
18-Feb-2000,
19-Feb-2000,
20-Feb-2000,
21-Feb-2000,
22-Feb-2000,
23-Feb-2000,
24-Feb-2000,
25-Feb-2000,
26-Feb-2000,
27-Feb-2000,
28-Feb-2000,
29-Feb-2000,
01-Mar-2000,
02-Mar-2000,
03-Mar-2000,
04-Mar-2000,
05-Mar-2000,
06-Mar-2000,
07-Mar-2000,
08-Mar-2000,
09-Mar-2000,
10-Mar-2000,
11-Mar-2000,
12-Mar-2000,
13-Mar-2000,
14-Mar-2000,
15-Mar-2000,
16-Mar-2000,
17-Mar-2000,
18-Mar-2000,
19-Mar-2000,
20-Mar-2000,
21-Mar-2000,
22-Mar-2000,
23-Mar-2000,
24-Mar-2000,
25-Mar-2000,
26-Mar-2000,
27-Mar-2000,
28-Mar-2000,
29-Mar-2000,
30-Mar-2000,
31-Mar-2000,
01-Apr-2000,
02-Apr-2000,
03-Apr-2000,
04-Apr-2000,
05-Apr-2000,
06-Apr-2000,
07-Apr-2000,
08-Apr-2000,
09-Apr-2000,
10-Apr-2000,
11-Apr-2000,
12-Apr-2000,
13-Apr-2000,
14-Apr-2000,
15-Apr-2000,
16-Apr-2000,
17-Apr-2000,
18-Apr-2000,
19-Apr-2000,
20-Apr-2000,
21-Apr-2000,
22-Apr-2000,
23-Apr-2000,
24-Apr-2000,
25-Apr-2000,
26-Apr-2000,
27-Apr-2000,
28-Apr-2000,
29-Apr-2000,
30-Apr-2000,
01-May-2000,
02-May-2000,
03-May-2000,
04-May-2000,
05-May-2000,
06-May-2000,
07-May-2000,
08-May-2000,
09-May-2000,
10-May-2000,
11-May-2000,
12-May-2000,
13-May-2000,
14-May-2000,
15-May-2000,
16-May-2000,
17-May-2000,
18-May-2000,
19-May-2000,
20-May-2000,
21-May-2000,
22-May-2000,
23-May-2000,
24-May-2000,
25-May-2000,
26-May-2000,
27-May-2000,
28-May-2000,
29-May-2000,
30-May-2000,
31-May-2000,
01-Jun-2000,
02-Jun-2000,
03-Jun-2000,
04-Jun-2000,
05-Jun-2000,
06-Jun-2000,
07-Jun-2000,
08-Jun-2000,
09-Jun-2000,
10-Jun-2000,
11-Jun-2000,
12-Jun-2000,
13-Jun-2000,
14-Jun-2000,
15-Jun-2000,
16-Jun-2000,39608
