date,acre_feet
01-Jan-2000,1678800
02-Jan-2000,1679728
03-Jan-2000,1680966
04-Jan-2000,1681895
05-Jan-2000,1683134
06-Jan-2000,1684683
07-Jan-2000,1685924
08-Jan-2000,1687165
09-Jan-2000,1688407
10-Jan-2000,1689028
11-Jan-2000,1690271
12-Jan-2000,1692136
13-Jan-2000,1694004
14-Jan-2000,1695560
15-Jan-2000,1696184
16-Jan-2000,1698054
17-Jan-2000,1698678
18-Jan-2000,1700238
19-Jan-2000,1701487
20-Jan-2000,1703361
21-Jan-2000,1703361
22-Jan-2000,1703361
23-Jan-2000,1703986
24-Jan-2000,1703986
25-Jan-2000,1704612
26-Jan-2000,1705237
27-Jan-2000,1704612
28-Jan-2000,1705237
29-Jan-2000,1705863
30-Jan-2000,1705863
31-Jan-2000,1707115
01-Feb-2000,1708054
02-Feb-2000,1704612
03-Feb-2000,1700862
04-Feb-2000,1697430
05-Feb-2000,1693692
06-Feb-2000,1690271
07-Feb-2000,1686855
08-Feb-2000,1683444
09-Feb-2000,1680037
10-Feb-2000,1677254
11-Feb-2000,1674783
12-Feb-2000,1673549
13-Feb-2000,1672315
14-Feb-2000,1671081
15-Feb-2000,1669849
16-Feb-2000,1668617
17-Feb-2000,1666463
18-Feb-2000,1664618
19-Feb-2000,1663082
20-Feb-2000,1661240
21-Feb-2000,1659399
22-Feb-2000,1657560
23-Feb-2000,1655722
24-Feb-2000,1656947
25-Feb-2000,1656335
26-Feb-2000,1653886
27-Feb-2000,1652663
28-Feb-2000,1650829
29-Feb-2000,1648997
01-Mar-2000,1646557
02-Mar-2000,1645338
03-Mar-2000,1643510
04-Mar-2000,1641684
05-Mar-2000,1639251
06-Mar-2000,1637429
07-Mar-2000,1634394
08-Mar-2000,1631970
09-Mar-2000,1630758
10-Mar-2000,1629548
11-Mar-2000,1626524
12-Mar-2000,1624712
13-Mar-2000,1622298
14-Mar-2000,1620490
15-Mar-2000,1618080
16-Mar-2000,1615072
17-Mar-2000,1613270
18-Mar-2000,1610269
19-Mar-2000,1606673
20-Mar-2000,1603083
21-Mar-2000,1601290
22-Mar-2000,1601887
23-Mar-2000,1603681
24-Mar-2000,1603681
25-Mar-2000,1603083
26-Mar-2000,1602485
27-Mar-2000,1602485
28-Mar-2000,1601887
29-Mar-2000,1600096
30-Mar-2000,1597709
31-Mar-2000,1595325
01-Apr-2000,1592944
02-Apr-2000,1591160
03-Apr-2000,1591160
04-Apr-2000,1591754
05-Apr-2000,1590565
06-Apr-2000,1588783
07-Apr-2000,1586409
08-Apr-2000,1584037
09-Apr-2000,1581077
10-Apr-2000,1579303
11-Apr-2000,1577530
12-Apr-2000,1574579
13-Apr-2000,1572221
14-Apr-2000,1569277
15-Apr-2000,1566925
16-Apr-2000,1564575
17-Apr-2000,1562229
18-Apr-2000,1559884
19-Apr-2000,1558128
20-Apr-2000,1556373
21-Apr-2000,1552868
22-Apr-2000,1550535
23-Apr-2000,1549369
24-Apr-2000,1548204
25-Apr-2000,1546458
26-Apr-2000,1544713
27-Apr-2000,1542969
28-Apr-2000,1540067
29-Apr-2000,1539487
30-Apr-2000,1538907
01-May-2000,1536590
02-May-2000,1536590
03-May-2000,1536300
04-May-2000,1535432
05-May-2000,1534275
06-May-2000,1533119
07-May-2000,1531385
08-May-2000,1530230
09-May-2000,1529653
10-May-2000,1528500
11-May-2000,1526194
12-May-2000,1527058
13-May-2000,1525042
14-May-2000,1523316
15-May-2000,1522741
16-May-2000,1520442
17-May-2000,1519293
18-May-2000,1518719
19-May-2000,1517572
20-May-2000,1515279
21-May-2000,1514134
22-May-2000,1511273
23-May-2000,1510130
24-May-2000,1507846
25-May-2000,1503854
26-May-2000,1501009
27-May-2000,1499303
28-May-2000,1497599
29-May-2000,1495330
30-May-2000,1493063
31-May-2000,1490233
01-Jun-2000,1489667
02-Jun-2000,1484021
03-Jun-2000,1480079
04-Jun-2000,1478953
05-Jun-2000,1475020
06-Jun-2000,1472775
07-Jun-2000,1469411
08-Jun-2000,1464376
09-Jun-2000,1460467
10-Jun-2000,1457122
11-Jun-2000,1454895
12-Jun-2000,1452114
13-Jun-2000,1448226
14-Jun-2000,1445453
15-Jun-2000,1443238
16-Jun-2000,1437708
17-Jun-2000,1434949
18-Jun-2000,1432468
19-Jun-2000,1429990
20-Jun-2000,1425866
21-Jun-2000,1423396
22-Jun-2000,1420928
23-Jun-2000,1418464
24-Jun-2000,1416822
25-Jun-2000,1415182
26-Jun-2000,1412450
27-Jun-2000,1411359
28-Jun-2000,1409722
29-Jun-2000,1407543
30-Jun-2000,1405365
01-Jul-2000,1402103
02-Jul-2000,1401560
03-Jul-2000,1400474
04-Jul-2000,1399931
05-Jul-2000,1397761
06-Jul-2000,1395593
07-Jul-2000,1393969
08-Jul-2000,1390724
09-Jul-2000,1388564
10-Jul-2000,1385327
