Texas, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,2.35,2.36
189612,-2.06,-2.05
189712,-2.43,-2.42
189812,-1.85,-1.84
189912,0.63,0.64
190012,-0.81,-0.80
190112,-4.05,-4.04
190212,1.28,1.29
190312,-1.74,-1.73
190412,-2.43,-2.42
190512,2.91,2.92
190612,-0.20,-0.19
190712,2.40,2.41
190812,-0.87,-0.86
190912,-3.36,-3.35
191012,-4.87,-4.86
191112,1.17,1.18
191212,-0.94,-0.93
191312,3.87,3.88
191412,4.86,4.87
191512,-1.32,-1.31
191612,-3.36,-3.35
191712,-6.19,-6.18
191812,2.00,2.01
191912,7.31,7.32
192012,-0.23,-0.22
192112,-2.77,-2.76
192212,-1.99,-1.98
192312,3.28,3.29
192412,-2.55,-2.54
192512,0.84,0.85
192612,2.72,2.73
192712,-2.04,-2.03
192812,0.43,0.44
192912,-0.30,-0.29
193012,2.11,2.12
193112,0.77,0.78
193212,0.74,0.75
193312,-2.72,-2.71
193412,-3.38,-3.37
193512,2.58,2.59
193612,1.16,1.17
193712,0.83,0.84
193812,-2.05,-2.04
193912,-3.00,-2.99
194012,2.48,2.49
194112,6.44,6.45
194212,-0.54,-0.53
194312,0.39,0.40
194412,2.39,2.40
194512,0.84,0.85
194612,1.27,1.28
194712,-1.27,-1.26
194812,-2.97,-2.96
194912,1.76,1.77
195012,-2.39,-2.38
195112,-4.49,-4.48
195212,-3.59,-3.58
195312,-2.72,-2.71
195412,-5.27,-5.26
195512,-4.75,-4.74
195612,-6.70,-6.69
195712,3.56,3.57
195812,2.64,2.65
195912,2.07,2.08
196012,3.22,3.23
196112,-0.07,-0.06
196212,-1.66,-1.65
196312,-3.85,-3.84
196412,-2.70,-2.69
196512,0.09,0.10
196612,-1.71,-1.70
196712,1.02,1.03
196812,3.50,3.51
196912,2.68,2.69
197012,-1.51,-1.50
197112,2.30,2.31
197212,0.84,0.85
197312,-0.64,-0.63
197412,4.28,4.29
197512,-0.83,-0.82
197612,2.26,2.27
197712,-2.53,-2.52
197812,0.46,0.47
197912,-0.69,-0.68
198012,-1.45,-1.44
198112,-0.66,-0.65
198212,1.06,1.07
198312,-0.42,-0.41
198412,2.20,2.21
198512,-0.13,-0.12
198612,3.50,3.51
198712,0.73,0.74
198812,-2.13,-2.12
198912,-2.23,-2.22
199012,0.01,0.02
199112,3.88,3.89
199212,4.15,4.16
199312,-0.71,-0.70
199412,1.34,1.35
199512,-0.90,-0.89
199612,0.91,0.92
199712,3.07,3.08
199812,1.82,1.83
199912,-2.71,-2.70
200012,2.80,2.81
200112,-0.22,-0.21
200212,2.76,2.77
200312,-1.51,-1.50
200412,4.55,4.56
200512,-2.63,-2.62
200612,0.26,0.27
200712,-1.12,-1.11
200812,-2.60,-2.59
200912,1.82,1.83
201012,-1.84,-1.83
201112,-5.91,-5.90
201212,-4.61,-4.60
201312,-2.59,-2.58
201412,0.22,0.23
201512,4.85,4.86
201612,-1.00,-0.99
201712,-1.40,-1.39
201812,4.53,4.54
