Nevada, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,1.11,1.18
189612,1.01,1.08
189712,0.16,0.23
189812,0.17,0.24
189912,-0.62,-0.55
190012,-2.37,-2.30
190112,-0.69,-0.62
190212,0.10,0.17
190312,-1.59,-1.52
190412,-1.28,-1.21
190512,0.09,0.16
190612,4.06,4.13
190712,4.70,4.77
190812,1.32,1.39
190912,2.75,2.82
191012,0.17,0.24
191112,-1.14,-1.07
191212,-0.82,-0.75
191312,2.06,2.13
191412,-1.41,-1.34
191512,-1.69,-1.62
191612,1.45,1.52
191712,-2.43,-2.36
191812,-0.01,0.06
191912,-1.54,-1.47
192012,1.41,1.48
192112,1.03,1.10
192212,2.79,2.86
192312,-0.61,-0.54
192412,-3.38,-3.31
192512,-0.59,-0.52
192612,-3.26,-3.19
192712,-0.93,-0.86
192812,-3.91,-3.84
192912,-4.45,-4.38
193012,-2.21,-2.14
193112,1.36,1.43
193212,-1.65,-1.58
193312,-3.07,-3.00
193412,0.23,0.30
193512,-0.83,-0.76
193612,0.68,0.75
193712,0.21,0.28
193812,-0.37,-0.30
193912,-1.50,-1.43
194012,0.95,1.02
194112,5.85,5.92
194212,1.87,1.94
194312,1.40,1.47
194412,0.94,1.01
194512,4.48,4.55
194612,3.35,3.42
194712,-1.30,-1.23
194812,0.15,0.22
194912,-1.77,-1.70
195012,-2.63,-2.56
195112,1.11,1.18
195212,-0.61,-0.54
195312,-3.54,-3.47
195412,-3.83,-3.76
195512,1.14,1.21
195612,-1.65,-1.58
195712,1.16,1.23
195812,-1.70,-1.63
195912,-4.14,-4.07
196012,-2.84,-2.77
196112,-0.24,-0.17
196212,-2.12,-2.05
196312,-0.52,-0.45
196412,1.07,1.14
196512,3.09,3.16
196612,0.98,1.05
196712,-1.09,-1.02
196812,0.19,0.26
196912,-0.24,-0.17
197012,0.99,1.06
197112,2.06,2.13
197212,1.80,1.87
197312,0.34,0.41
197412,0.56,0.63
197512,-0.97,-0.90
197612,-1.73,-1.66
197712,0.26,0.33
197812,2.93,3.00
197912,0.64,0.71
198012,-1.57,-1.50
198112,0.67,0.74
198212,3.88,3.95
198312,8.37,8.44
198412,6.11,6.18
198512,-0.07,0.00
198612,-1.38,-1.31
198712,1.08,1.15
198812,-0.92,-0.85
198912,-3.03,-2.96
199012,-3.72,-3.65
199112,-2.03,-1.96
199212,0.62,0.69
199312,-0.80,-0.73
199412,1.09,1.16
199512,-1.35,-1.28
199612,1.43,1.50
199712,-0.83,-0.76
199812,-0.59,-0.52
199912,-3.10,-3.03
200012,-2.47,-2.40
200112,-3.13,-3.06
200212,-4.15,-4.08
200312,-2.78,-2.71
200412,2.15,2.22
200512,3.93,4.00
200612,-1.53,-1.46
200712,-4.09,-4.02
200812,-3.57,-3.50
200912,0.10,0.17
201012,2.89,2.96
201112,-1.43,-1.36
201212,-3.35,-3.28
201312,-3.58,-3.51
201412,-3.51,-3.44
201512,1.40,1.47
201612,0.78,0.85
201712,-1.77,-1.70
201812,-3.56,-3.49
