ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20141230,AZ,0,100,83.05,35.34,3.84,0
20141223,AZ,0,100,83.05,35.34,3.84,0
20141216,AZ,0,100,83.05,35.34,3.84,0
20141209,AZ,0,100,84.94,35.34,3.84,0
20141202,AZ,0,100,84.94,35.34,3.84,0
20141125,AZ,0,100,84.94,35.34,3.75,0
20141118,AZ,0,100,84.94,35.34,3.75,0
20141111,AZ,0,100,84.94,35.34,3.75,0
20141104,AZ,0,100,84.9,35.34,3.75,0
20141028,AZ,0,100,84.56,37.76,3.75,0
20141021,AZ,0,100,84.56,37.76,3.75,0
20141014,AZ,0,100,84.56,37.92,3.76,0
20141007,AZ,0,100,84.56,37.92,3.76,0
20140930,AZ,0,100,84.58,37.92,3.76,0
20140923,AZ,0,100,85.36,39.41,3.83,0
20140916,AZ,0,100,87.51,43.82,3.77,0
20140909,AZ,0,100,87.51,48.93,3.77,0
20140902,AZ,0,100,90.74,56.6,6.71,0
20140826,AZ,0,100,90.75,56.6,6.71,0
20140819,AZ,0,100,97.88,65.34,9.39,0
20140812,AZ,0,100,97.88,69.74,12.9,0
20140805,AZ,0,100,97.88,69.74,10.84,0
20140729,AZ,0,100,97.88,68.25,16.84,0
20140722,AZ,0,100,97.88,72.3,17.59,0
20140715,AZ,0,100,97.88,72.3,15.64,0
20140708,AZ,0,100,98.17,76.3,17.11,0
20140701,AZ,0,100,98.17,76.3,17.11,0
20140624,AZ,0,100,98.17,76.3,16.82,0
20140617,AZ,0,100,98.17,76.3,16.82,0
20140610,AZ,0,100,98.17,76.28,16.82,0
20140603,AZ,0,100,98.17,76.28,7.69,0
20140527,AZ,0,100,98.17,76.28,7.69,0
20140520,AZ,0,100,98.17,76.28,7.69,0
20140513,AZ,0,100,98.17,76.28,7.69,0
20140506,AZ,0,100,98.17,61.32,7.69,0
20140429,AZ,0,100,98.17,61.2,7.69,0
20140422,AZ,0,100,98.17,61.2,7.31,0
20140415,AZ,0,100,88.56,57.06,5.18,0
20140408,AZ,0,100,88.56,57.06,5.18,0
20140401,AZ,0,100,87.99,57.01,5.18,0
20140325,AZ,0,100,88.03,57,5.18,0
20140318,AZ,6.12,93.88,88.06,57.04,5.18,0
20140311,AZ,6.23,93.77,77.26,54.71,5.18,0
20140304,AZ,6.18,93.82,77.26,54.71,5.18,0
20140225,AZ,6.18,93.82,77.24,57.2,7.04,0
20140218,AZ,6.18,93.82,77.09,57.2,7.04,0
20140211,AZ,8.29,91.71,76.21,39.68,0,0
20140204,AZ,8.29,91.71,68.43,36.1,0,0
20140128,AZ,8.29,91.71,68.43,36.1,0,0
20140121,AZ,16.08,83.92,57.75,24.66,0,0
20140114,AZ,16.08,83.92,57.75,24.66,0,0
20140107,AZ,16.08,83.92,57.19,24.66,0,0
20131231,AZ,20.72,79.28,53.58,14.73,0,0
20131224,AZ,20.72,79.28,53.58,14.73,0,0
20131217,AZ,20.72,79.28,53.58,16.32,0,0
20131210,AZ,20.72,79.28,53.58,16.32,0,0
20131203,AZ,20.72,79.28,53.58,16.32,0,0
20131126,AZ,20.72,79.28,53.58,16.32,0,0
