ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20181225,AZ,0,100,69.79,32.67,12.6,3.3
20181218,AZ,0,100,69.79,32.76,12.6,3.3
20181211,AZ,0,100,69.79,32.76,12.6,3.3
20181204,AZ,0,100,73.99,34.37,12.6,3.3
20181127,AZ,0,100,73.99,34.41,12.6,4.33
20181120,AZ,0,100,76.99,35.33,12.6,4.33
20181113,AZ,0,100,81.52,35.33,12.6,4.33
20181106,AZ,0,100,83.76,35.33,12.6,4.32
20181030,AZ,0,100,86.67,42.72,12.6,4.32
20181225,CA,7.77,92.23,75.17,16.24,2.1,0
20181218,CA,7.77,92.23,75.17,16.87,2.1,0
20181211,CA,7.77,92.23,75.17,16.87,2.1,0
20181204,CA,7.77,92.23,79.69,18.34,3.78,0
20181127,CA,0,100,83.66,18.33,3.78,0
20181120,CA,0,100,77.62,18.36,3.78,0
20181113,CA,0,100,53.2,18.35,2.39,0
20181106,CA,0,100,51.92,18.35,2.39,0
20181030,CA,15.16,84.84,47.94,19.3,2.73,0
20181225,CO,15.88,84.12,66.26,54.91,27.11,11.22
20181218,CO,17.1,82.9,66.26,54.82,27.11,11.22
20181211,CO,17.1,82.9,66.26,54.82,27.11,11.22
20181204,CO,17.1,82.9,66.26,54.82,27.11,11.22
20181127,CO,17.1,82.9,66.26,54.82,33.46,13.35
20181120,CO,17.1,82.9,66.26,54.82,34.13,13.35
20181113,CO,16.64,83.36,66.26,54.82,34.13,13.35
20181106,CO,16.64,83.36,66.8,54.82,35.19,13.37
20181030,CO,16.64,83.36,66.8,57.07,37.48,13.64
20181225,ID,34.29,65.71,25.59,10.46,0,0
20181218,ID,34.29,65.71,25.75,10.38,0,0
20181211,ID,34.29,65.71,25.75,10.38,0,0
20181204,ID,39.63,60.37,25.75,10.38,0,0
20181127,ID,39.63,60.37,25.75,10.38,0,0
20181120,ID,39.63,60.37,25.75,10.38,0,0
20181113,ID,39.63,60.37,25.78,10.38,0,0
20181106,ID,39.63,60.37,25.78,10.38,0,0
20181030,ID,31.09,68.91,32.39,10.38,0,0
20181225,MT,92.72,7.28,1.47,0,0,0
20181218,MT,92.72,7.28,1.47,0,0,0
20181211,MT,92.71,7.29,1.47,0,0,0
20181204,MT,92.37,7.63,1.47,0,0,0
20181127,MT,92.3,7.7,1.47,0,0,0
20181120,MT,90.34,9.66,1.47,0,0,0
20181113,MT,83.59,16.41,1.47,0,0,0
20181106,MT,81.72,18.28,1.47,0,0,0
20181030,MT,73.83,26.17,8.06,0.77,0,0
20181225,NM,25.64,74.36,45.46,35.92,19.89,14.5
20181218,NM,25.98,74.02,45.46,35.85,19.89,14.5
20181211,NM,25.98,74.02,45.46,35.85,20.67,15.05
20181204,NM,25.98,74.02,45.46,35.85,20.67,15.05
20181127,NM,25.98,74.02,45.46,35.85,20.67,15.05
20181120,NM,25.98,74.02,45.46,35.85,20.67,15.05
20181113,NM,7.94,92.06,60.3,38.44,22.08,15.05
20181106,NM,7.94,92.06,64.09,40.76,22.08,15.5
20181030,NM,6.87,93.13,64.3,44.43,22.08,15.5
20181225,NV,0.71,99.29,81.09,12.84,0,0
20181218,NV,0.71,99.29,81.09,12.92,0,0
20181211,NV,0.71,99.29,81.09,12.92,0,0
20181204,NV,0.71,99.29,65.54,12.92,0,0
20181127,NV,0,100,65.97,12.92,0,0
20181120,NV,0,100,60.35,12.92,0,0
20181113,NV,0,100,44.44,12.92,0,0
20181106,NV,0,100,44.44,12.92,0,0
20181030,NV,9.32,90.68,44.44,12.92,0,0
20181225,OR,0,100,93.34,80.46,24.77,0
20181218,OR,0,100,98.65,86.21,36.38,0
20181211,OR,0,100,98.65,86.21,36.38,0
20181204,OR,0,100,98.65,86.21,34.26,0
20181127,OR,0,100,98.65,86.21,34.26,0
20181120,OR,0,100,98.65,86.21,34.26,0
20181113,OR,0,100,97.63,86.23,34.26,0
20181106,OR,0,100,97.63,86.23,34.26,0
20181030,OR,0,100,97.63,86.25,33.65,0
20181225,TX,90.02,9.98,0.8,0,0,0
20181218,TX,94.51,5.49,0.8,0,0,0
20181211,TX,96.3,3.7,0.8,0,0,0
20181204,TX,96.13,3.87,0.8,0,0,0
20181127,TX,97.73,2.27,0.8,0,0,0
20181120,TX,97.73,2.27,0.8,0,0,0
20181113,TX,97.73,2.27,0.99,0,0,0
20181106,TX,97.17,2.83,1.15,0,0,0
20181030,TX,96.15,3.85,1.84,0.43,0,0
20181225,UT,0,100,99.96,73.31,7.7,1.8
20181218,UT,0,100,99.96,73.33,7.7,1.8
20181211,UT,0,100,99.96,73.33,7.7,1.8
20181204,UT,0,100,99.96,73.33,8.44,1.83
20181127,UT,0,100,99.96,76.1,17.79,3.01
20181120,UT,0,100,99.96,76.1,17.79,3.01
20181113,UT,0,100,99.96,76.1,17.79,3.01
20181106,UT,0,100,99.96,76.1,17.79,3.01
20181030,UT,0,100,99.96,76.1,26.84,3.01
20181225,WA,23.62,76.38,30.47,0.17,0,0
20181218,WA,20.38,79.62,32.58,0.38,0,0
20181211,WA,20.38,79.62,32.58,0.38,0,0
20181204,WA,20.38,79.62,32.58,0.38,0,0
20181127,WA,20.31,79.69,32.59,0.38,0,0
20181120,WA,20.31,79.69,32.59,0.38,0,0
20181113,WA,20.31,79.69,20.41,0.38,0,0
20181106,WA,20.31,79.69,20.41,0.38,0,0
20181030,WA,8,92,33.51,4.44,0,0
20181225,WY,59.89,40.11,13.41,3.27,0,0
20181218,WY,59.89,40.11,13.41,3.26,0,0
20181211,WY,60.13,39.87,13.41,3.26,0,0
20181204,WY,60.13,39.87,13.41,3.26,0,0
20181127,WY,60.13,39.87,13.41,3.26,0,0
20181120,WY,60.13,39.87,13.41,3.26,0,0
20181113,WY,60.13,39.87,13.41,3.26,0,0
20181106,WY,58.14,41.86,13.46,3.26,0,0
20181030,WY,60.38,39.62,13.46,3.46,0,0
